,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
520,Jonathan Lynn,Jonathan Lynn,Eric Idle,Robbie Coltrane,Camille Coduri,Eric Idle,Robbie Coltrane,Camille Coduri,Janet Suzman,Doris Hare,,Jonathan Lynn,10959015.0,5.9,nan,6685,,0,0,0,0,1990-03-16,89.0,Nuns on the Run,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
521,Denys Arcand,Denys Arcand,Gabriel Arcand,Dominique Michel,Dorothée Berryman,Louise Portal,Dominique Michel,Dorothée Berryman,Louise Portal,Pierre Curzi,1290600.1290600128,Denys Arcand,1902706.0,7.3,nan,6705,,1,0,6,13,1986-06-19,101.0,Le d�clin de l'empire am�ricain,1986-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
522,Gregg Champion,Robert C. Thompson,William D. Wittliff,Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Ernie Hudson,35000000.0,Gregg Champion,20277185.0,5.8,nan,6736,,0,0,0,0,1994-06-03,102.0,The Cowboy Way,1994-01-01,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
523,Sajid Khan,K. Raghavendra Rao,Sajid Khan,Ajay Devgn,Tamannaah Bhatia,Mahesh Manjrekar,Ajay Devgn,Tamannaah Bhatia,Paresh Rawal,Mahesh Manjrekar,10000000.0,Sajid Khan,270880.0,1.7,nan,6813,,0,0,1,2,2013-03-28,150.0,Himmatwala,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
524,William Wyler,Sinclair Lewis,Sidney Howard,Walter Huston,Ruth Chatterton,Paul Lukas,Walter Huston,Ruth Chatterton,Paul Lukas,Mary Astor,,William Wyler,,8.1,nan,6778,,0,1,9,2,1936-09-23,101.0,Dodsworth,1936-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,James M. Muro,Roy Frumkes,Mike Lackey,Bill Chepil,Vic Noto,Mike Lackey,Bill Chepil,Vic Noto,Mark Sferrazza,Jane Arakawa,500000.0,James M. Muro,,6.2,nan,7061,,0,0,0,1,1987-01-01,91.0,Street Trash,1987-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
526,Louis J. Gasnier,Lawrence Meade,Arthur Hoerl,Dorothy Short,Kenneth Craig,Lillian Miles,Dorothy Short,Kenneth Craig,Lillian Miles,Dave O'Brien,,Louis J. Gasnier,,3.8,70.0,6789,,0,0,0,0,1938-01-01,66.0,Tell Your Children,1936-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
527,Gus Van Sant,Chris Sparling,Matthew McConaughey,Naomi Watts,Ken Watanabe,Matthew McConaughey,Ryoko Seta,Sienna Tow,Naoko Marshall,Michiko Tomura,25000000.0,Gus Van Sant,20083.0,6.0,23.0,9149,,0,0,2,0,2015-05-16,110.0,The Sea of Trees,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
528,Milorad Milinkovic,Milorad Milinkovic,Nikola Djuricko,Sonja Kolacaric,Tara Manic,Nikola Djuricko,Sonja Kolacaric,Tara Manic,Srdjan 'Zika' Todorovic,Nenad Jezdic,,Milorad Milinkovic,,8.4,nan,6863,,0,0,0,0,2002-03-15,90.0,Mrtav 'ladan,2002-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
529,Harold Becker,Terry Davis,Darryl Ponicsan,Matthew Modine,Linda Fiorentino,Michael Schoeffling,Matthew Modine,Linda Fiorentino,Michael Schoeffling,Ronny Cox,,Harold Becker,12900000.0,6.5,nan,6738,,0,0,0,0,1985-02-15,107.0,Vision Quest,1985-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
530,Sidney Poitier,Brent Maddock,S.S. Wilson,Bill Cosby,Kimberly Russell,Denise Nicholas,Bill Cosby,Kimberly Russell,Denise Nicholas,Ian Bannen,,Sidney Poitier,24707633.0,4.3,nan,6683,,0,0,3,0,1990-06-29,83.0,Ghost Dad,1990-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
531,Zoltan Korda,John Howard Lawson,Zoltan Korda,Humphrey Bogart,Bruce Bennett,J. Carrol Naish,Humphrey Bogart,Bruce Bennett,J. Carrol Naish,Lloyd Bridges,,Zoltan Korda,2300000.0,7.6,nan,6742,,3,0,0,0,1943-09-02,97.0,Sahara,1943-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
532,John Irvin,Gary DeVore,George Malko,Christopher Walken,Tom Berenger,Colin Blakely,Christopher Walken,Tom Berenger,Colin Blakely,Hugh Millais,,John Irvin,,6.3,nan,6670,,0,0,0,0,1980-12-17,118.0,The Dogs of War,1980-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
533,Peter Greenaway,Peter Greenaway,Bernard Hill,Joan Plowright,Juliet Stevenson,Joan Plowright,Juliet Stevenson,Joely Richardson,Bernard Hill,Jason Edwards,,Peter Greenaway,424773.0,7.3,nan,6806,,0,0,1,3,1988-09-10,118.0,Drowning by Numbers,1988-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
534,Aki Kaurismäki,Aki Kaurismäki,Kati Outinen,Elina Salo,Esko Nikkari,Kati Outinen,Elina Salo,Esko Nikkari,Vesa Vierikko,Reijo Taipale,,Aki Kaurism�ki,,7.6,nan,7089,,0,0,5,6,1990-01-12,68.0,Tulitikkutehtaan tytt�,1990-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
535,James Schamus,Philip Roth,James Schamus,Logan Lerman,Sarah Gadon,Tijuana Ricks,Tijuana Ricks,Sue Dahlman,Jason Jiang,Logan Lerman,,James Schamus,3399841.0,6.8,78.0,9126,,0,0,4,0,2016-01-24,110.0,Indignation,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
536,Norman Jewison,Nathaniel Benchley,William Rose,Carl Reiner,Eva Marie Saint,Alan Arkin,Carl Reiner,Eva Marie Saint,Alan Arkin,Brian Keith,,Norman Jewison,21693114.0,7.1,nan,6711,,4,0,9,5,1966-05-25,126.0,The Russians Are Coming the Russians Are Coming,1966-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
537,Bryan Buckley,Melissa Rauch,Winston Rauch,Melissa Rauch,Gary Cole,Haley Lu Richardson,Melissa Rauch,Gary Cole,Thomas Middleditch,Sebastian Stan,3500000.0,Bryan Buckley,615654.0,6.0,44.0,7946,,0,0,1,0,2015-01-22,100.0,The Bronze,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
538,Sean Ellis,Sean Ellis,Frank E. Flowers,Jake Macapagal,John Arcilla,Althea Vega,Jake Macapagal,John Arcilla,Althea Vega,Erin Panlilio,,Sean Ellis,,7.6,65.0,6903,,0,0,11,9,2013-01-20,115.0,Metro Manila,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
539,Peter H. Hunt,Peter Stone,Sherman Edwards,William Daniels,Howard Da Silva,Ken Howard,William Daniels,Howard Da Silva,Ken Howard,Donald Madden,4000000.0,Peter H. Hunt,6104000.0,7.6,nan,6695,,1,0,1,1,1972-11-09,141.0,1776,1972-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
540,Mac Carter,Andrew Barrer,Jacki Weaver,Liana Liberato,Harrison Gilbertson,Harrison Gilbertson,Liana Liberato,Jacki Weaver,Ione Skye,Brian Wimmer,,Mac Carter,,5.2,33.0,6909,,0,0,0,0,2014-02-07,86.0,Haunt,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
541,Carroll Ballard,Farley Mowat,Curtis Hanson,Charles Martin Smith,Brian Dennehy,Zachary Ittimangnaq,Charles Martin Smith,Brian Dennehy,Zachary Ittimangnaq,Samson Jorah,,Carroll Ballard,29600000.0,7.6,nan,6692,,1,0,2,4,1983-10-06,105.0,Never Cry Wolf,1983-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
542,Trivikram Srinivas,Saigopal,Trivikram Srinivas,Pawan Kalyan,Samantha Ruth Prabhu,Pranitha,Pawan Kalyan,Samantha Ruth Prabhu,Pranitha,Boman Irani,,Trivikram Srinivas,,7.2,nan,7058,,0,0,5,5,2013-09-26,170.0,Atharintiki Daaredi,2013-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
543,John Huston,Claud Cockburn,Truman Capote,Humphrey Bogart,Jennifer Jones,Gina Lollobrigida,Humphrey Bogart,Jennifer Jones,Gina Lollobrigida,Robert Morley,1000000.0,John Huston,,6.6,nan,6800,,0,0,0,1,1953-11-24,89.0,Beat the Devil,1953-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
544,Enzo Barboni,Marco Barboni,Terence Hill,Bud Spencer,Buffy Dee,Terence Hill,Bud Spencer,Buffy Dee,David Huddleston,Riccardo Pizzuti,,Enzo Barboni,,7.2,nan,7015,,0,0,0,0,1983-09-23,107.0,Nati con la camicia,1983-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
545,Marcel Carné,Pierre Dumarchais,Jacques Prévert,Jean Gabin,Michel Simon,Michèle Morgan,Jean Gabin,Michel Simon,Michèle Morgan,Pierre Brasseur,,Marcel Carn�,26765.0,7.7,nan,6811,,0,0,1,6,1938-05-17,91.0,Le quai des brumes,1938-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
546,Bertrand Blier,Bertrand Blier,Bertrand Blier,Gérard Depardieu,Patrick Dewaere,Miou-Miou,Gérard Depardieu,Patrick Dewaere,Miou-Miou,Jeanne Moreau,,Bertrand Blier,,7.4,nan,6812,,0,0,0,0,1974-03-20,150.0,Les valseuses,1974-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
547,Todd Louiso,Gordy Hoffman,Philip Seymour Hoffman,Annie Morgan,Kathy Bates,Philip Seymour Hoffman,J.D. Walsh,Jimmy Raskin,Kathy Bates,Erika Alexander,1000000.0,Todd Louiso,211724.0,7.0,58.0,6631,,0,0,3,2,2002-01-14,90.0,Love Liza,2002-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
548,Mark Rydell,Bo Goldman,Bill Kerby,Bette Midler,Alan Bates,Frederic Forrest,Bette Midler,Alan Bates,Frederic Forrest,Harry Dean Stanton,8500000.0,Mark Rydell,29200000.0,7.0,67.0,6773,,4,0,8,5,1979-11-07,125.0,The Rose,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
549,Roel Reiné,Lars Boom,Alex van Galen,Frank Lammers,Sanne Langelaar,Barry Atsma,Frank Lammers,Sanne Langelaar,Barry Atsma,Lieke van Lexmond,7085916.7404783,Roel Rein�,,7.0,nan,7106,733333.0380868025,0,0,5,0,2015-01-26,151.0,Michiel de Ruyter,2015-01-01,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
550,Gordon Chan,Gordon Chan,Hing-Ka Chan,Jackie Chan,Anita Yuen,Michael Wong,Jackie Chan,Anita Yuen,Michael Wong,Thorsten Nickel,,Gordon Chan,,6.4,nan,6887,,0,0,1,1,1995-08-05,110.0,Pik lik foh,1995-01-01,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
551,Greg Francis,Doug Buchanan,Greg Francis,Beau Mirchoff,Ron Perlman,Giancarlo Esposito,Beau Mirchoff,Ron Perlman,Giancarlo Esposito,Titus Welliver,,Greg Francis,,6.3,35.0,6902,,0,0,0,0,2014-11-20,104.0,Poker Night,2014-01-01,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
552,Brian De Palma,Brian De Palma,Paul Schrader,Cliff Robertson,Geneviève Bujold,John Lithgow,Cliff Robertson,Geneviève Bujold,John Lithgow,Sylvia Kuumba Williams,1400000.0,Brian De Palma,,6.8,nan,7043,,1,0,1,3,1976-08-01,98.0,Obsession,1976-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
553,Jörg Buttgereit,Jörg Buttgereit,Franz Rodenkirchen,Bernd Daktari Lorenz,Beatrice Manowski,Harald Lundt,Bernd Daktari Lorenz,Beatrice Manowski,Harald Lundt,Colloseo Schulzendorf,,J�rg Buttgereit,,5.1,nan,6877,,0,0,0,0,1987-01-01,75.0,Nekromantik,1987-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
554,Jim Wynorski,Jim Wynorski,Steve Mitchell,Kelli Maroney,Tony O'Dell,Russell Todd,Kelli Maroney,Tony O'Dell,Russell Todd,Karrie Emerson,800000.0,Jim Wynorski,,5.6,nan,7467,,0,0,0,0,1986-03-21,77.0,Chopping Mall,1986-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
555,John Ford,Laurence Stallings,Frank S. Nugent,John Wayne,Pedro Armendáriz,Harry Carey Jr.,John Wayne,Pedro Armendáriz,Harry Carey Jr.,Ward Bond,1243000.0,John Ford,2841000.0,7.2,nan,6799,,0,0,0,0,1948-11-25,106.0,3 Godfathers,1948-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Charles Martin Smith,Charles Martin Smith,Karen Janszen,Morgan Freeman,Ashley Judd,Nathan Gamble,Morgan Freeman,Ashley Judd,Juliana Harkavy,Harry Connick Jr.,36000000.0,Charles Martin Smith,42019483.0,6.4,58.0,6873,,0,0,3,0,2014-09-11,107.0,Dolphin Tale 2,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
557,Menno Meyjes,Menno Meyjes,John Cusack,Noah Taylor,Leelee Sobieski,John Cusack,Noah Taylor,Leelee Sobieski,Molly Parker,Ulrich Thomsen,11000000.0,Menno Meyjes,527019.0,6.6,56.0,6537,,0,0,5,3,2002-09-10,106.0,Max,2002-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
558,Ulrich Seidl,Ulrich Seidl,Veronika Franz,Margarete Tiesel,Peter Kazungu,Inge Maux,Margarete Tiesel,Peter Kazungu,Inge Maux,Dunja Sowinetz,2829966.197625973,Ulrich Seidl,23808.0,7.1,65.0,6950,,0,0,7,3,2012-05-18,120.0,Paradies: Liebe,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
559,Anthony Mann,Valentine Davies,Oscar Brodney,James Stewart,June Allyson,Harry Morgan,James Stewart,June Allyson,Harry Morgan,Charles Drake,,Anthony Mann,,7.3,nan,6803,,0,1,6,0,1954-01-04,115.0,The Glenn Miller Story,1954-01-01,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
560,Michael Curtiz,Albert Husson,Ranald MacDougall,Humphrey Bogart,Peter Ustinov,Aldo Ray,Humphrey Bogart,Aldo Ray,Peter Ustinov,Joan Bennett,1685000.0,Michael Curtiz,3000000.0,7.5,nan,6717,,0,0,0,0,1955-07-07,106.0,We're No Angels,1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
561,Kat Coiro,Kat Coiro,Krysten Ritter,Krysten Ritter,Kate Bosworth,Rachel Bilson,Krysten Ritter,Kate Bosworth,Rachel Bilson,Geoff Stults,930000.0,Kat Coiro,2000000.0,5.6,44.0,6699,,0,0,0,0,2011-06-18,100.0,L!fe Happens,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
562,John Fortenberry,Barbara Williams,Samantha Adams,Pauly Shore,Tia Carrere,Stanley Tucci,Pauly Shore,Tia Carrere,Stanley Tucci,Brian Doyle-Murray,,John Fortenberry,17014653.0,4.1,nan,6646,,0,0,1,1,1995-04-12,88.0,Jury Duty,1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
563,Bora Dagtekin,Bora Dagtekin,Andy Raymer,Josefine Preuß,Elyas M'Barek,Anna Stieblich,Josefine Preuß,Elyas M'Barek,Anna Stieblich,Adnan Maral,,Bora Dagtekin,,5.8,nan,6874,,0,0,2,3,2012-03-15,105.0,T�rkisch f�r Anf�nger,2012-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
564,Jirí Menzel,Bohumil Hrabal,Jirí Menzel,Ivan Barnev,Oldrich Kaiser,Julia Jentsch,Ivan Barnev,Oldrich Kaiser,Julia Jentsch,Marián Labuda,,Jir� Menzel,617228.0,7.4,72.0,6647,,0,0,12,10,2006-12-19,113.0,Obsluhoval jsem anglick�ho kr�le,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
565,Mike Barker,Ted Griffin,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Gene Wolande,Jonathan McMurtry,7000000.0,Mike Barker,25651.0,6.2,40.0,6616,,0,0,0,1,1999-05-14,92.0,Best Laid Plans,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
566,Brad McGann,Maurice Gee,Brad McGann,Matthew Macfadyen,Miranda Otto,Emily Barclay,Matthew Macfadyen,Miranda Otto,Emily Barclay,Colin Moy,11128775.834658187,Brad McGann,,7.7,nan,6634,,0,0,5,19,2004-06-11,127.0,In My Father's Den,2004-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
567,Tobi Baumann,Oliver Kalkofe,Oliver Welke,Oliver Kalkofe,Bastian Pastewka,Thomas Fritsch,Oliver Kalkofe,Bastian Pastewka,Tanja Wenzel,Olli Dittrich,3971607.2333953017,Tobi Baumann,,6.1,nan,6777,2685427.0,0,0,1,1,2004-05-10,85.0,Der Wixxer,2004-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
568,Mario Bava,Mario Bava,Giuseppe Zaccariello,Claudine Auger,Luigi Pistilli,Claudio Camaso,Claudine Auger,Luigi Pistilli,Claudio Camaso,Anna Maria Rosati,,Mario Bava,,6.7,nan,7088,,0,0,0,3,1971-09-08,84.0,Reazione a catena,1971-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
569,Frank Tuttle,Albert Maltz,W.R. Burnett,Alan Ladd,Veronica Lake,Robert Preston,Veronica Lake,Robert Preston,Laird Cregar,Alan Ladd,500000.0,Frank Tuttle,12000000.0,7.5,nan,6721,,0,0,0,1,1942-04-24,81.0,This Gun for Hire,1942-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
