,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
1207,Roland Joffé,Bruce Robinson,Bruce Robinson,Paul Newman,Dwight Schultz,Bonnie Bedelia,Paul Newman,Dwight Schultz,Bonnie Bedelia,John Cusack,,Roland Joff�,3563162.0,6.5,nan,5886,,0,0,2,0,1989-10-20,127.0,Fat Man and Little Boy,1989-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1208,Sergei Parajanov,Sayat Nova,Sergei Parajanov,Sofiko Chiaureli,Melkon Alekyan,Vilen Galstyan,Sofiko Chiaureli,Melkon Alekyan,Vilen Galstyan,Gogi Gegechkori,,Sergei Parajanov,,7.7,nan,6114,,0,0,0,1,1969-10-01,79.0,Sayat Nova,1969-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1209,Andrews Jenkins,Andrews Jenkins,Nick Stahl,Erika Christensen,Gavin Rossdale,Nick Stahl,Erika Christensen,Gavin Rossdale,Terry Crews,David Carradine,,Andrews Jenkins,711.0,6.1,27.0,5687,,0,0,1,0,2007-06-25,81.0,How to Rob a Bank ,2007-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1210,Kerem Deren,Kerem Deren,Kerem Deren,Engin Akyürek,Farah Zeynep Abdullah,Ceren Moray,Engin Akyürek,Farah Zeynep Abdullah,Ceren Moray,Onur Tuna,,Kerem Deren,,7.4,nan,6384,,0,0,1,1,2014-02-14,106.0,Bi K���k Eyl�l Meselesi,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1211,William Dear,David Michael Wieger,Jonathan Taylor Thomas,Devon Sawa,Scott Bairstow,Jonathan Taylor Thomas,Devon Sawa,Scott Bairstow,Frances Fisher,Jamey Sheridan,,William Dear,7324662.0,6.3,nan,5859,,0,0,0,1,1997-07-02,106.0,Wild America,1997-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,Nicolas Benamou,Philippe Lacheau,Julien Arruti,Tarek Boudali,Philippe Lacheau,Alice David,Vincent Desagnat,Philippe Lacheau,Alice David,Vincent Desagnat,,Philippe Lacheau Nicolas Benamou,,6.8,nan,6703,,0,0,0,2,2014-01-16,85.0,Babysitting,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1213,Nunnally Johnson,Nunnally Johnson,Corbett Thigpen,Joanne Woodward,David Wayne,Lee J. Cobb,Joanne Woodward,David Wayne,Lee J. Cobb,Edwin Jerome,965000.0,Nunnally Johnson,,7.2,nan,6122,,0,1,1,2,1957-09-12,91.0,The Three Faces of Eve,1957-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1214,Mervyn LeRoy,Erwin S. Gelsey,James Seymour,Warren William,Joan Blondell,Aline MacMahon,Warren William,Joan Blondell,Aline MacMahon,Ruby Keeler,433000.0,Mervyn LeRoy,,8.1,nan,5976,,1,0,0,1,1933-05-27,97.0,Gold Diggers of 1933,1933-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1215,Jack Conway,Maurine Dallas Watkins,Howard Emmett Rogers,Jean Harlow,William Powell,Myrna Loy,Jean Harlow,William Powell,Myrna Loy,Spencer Tracy,,Jack Conway,,7.9,nan,5886,,1,0,0,0,1936-10-09,98.0,Libeled Lady,1936-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1216,Hans Herbots,Mo Hayder,Carl Joos,Geert Van Rampelberg,Ina Geerts,Johan van Assche,Geert Van Rampelberg,Ina Geerts,Johan van Assche,Laura Verlinden,,Hans Herbots,,7.2,nan,6395,,0,0,5,3,2014-01-29,131.0,De behandeling,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1217,Giuseppe Tornatore,Giuseppe Tornatore,Francesco Scianna,Margareth Madè,Lina Sastri,Francesco Scianna,Margareth Madè,Lina Sastri,Ángela Molina,Nicole Grimaudo,19654639.898918994,Giuseppe Tornatore,4900.0,6.9,nan,5957,,0,0,19,14,2009-09-02,163.0,Baar�a,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1218,Otto Preminger,John Mortimer,Penelope Mortimer,Keir Dullea,Carol Lynley,Laurence Olivier,Laurence Olivier,Carol Lynley,Keir Dullea,Martita Hunt,,Otto Preminger,,7.3,nan,6032,,0,0,1,0,1965-10-03,107.0,Bunny Lake Is Missing,1965-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1219,Hernán Goldfrid,Diego Paszkowski,Patricio Vega,Ricardo Darín,Natalia Santiago,Alberto Ammann,Ricardo Darín,Alberto Ammann,Calu Rivero,Arturo Puig,,Hern�n Goldfrid,,6.3,nan,6064,,0,0,17,0,2013-01-17,106.0,Tesis sobre un homicidio,2013-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1220,Mary Harron,Jeremiah Newton,Diane Tucker,Lili Taylor,Jared Harris,Martha Plimpton,Lili Taylor,Jared Harris,Martha Plimpton,Lothaire Bluteau,,Mary Harron,1814290.0,6.6,75.0,5796,,0,0,6,5,1996-01-20,103.0,I Shot Andy Warhol,1996-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1221,Terry Hughes,Ezra Litwak,Marjorie Schwartz,Demi Moore,Jeff Daniels,George Dzundza,Demi Moore,Jeff Daniels,George Dzundza,Mary Steenburgen,,Terry Hughes,9689816.0,5.3,nan,5782,,0,0,1,0,1991-10-25,107.0,The Butcher's Wife,1991-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1222,Leander Haußmann,Sven Regener,Sven Regener,Christian Ulmen,Katja Danowski,Detlev Buck,Christian Ulmen,Detlev Buck,Katja Danowski,Janek Rieke,5120764.700861995,Leander Hau�mann,,7.2,nan,5814,,0,0,5,4,2003-10-02,105.0,Herr Lehmann,2003-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1223,Jeff Kanew,Paul G. Hensler,Dan Gordon,Anthony Edwards,Linda Fiorentino,Jsu Garcia,Anthony Edwards,Linda Fiorentino,Jsu Garcia,Alex Rocco,,Jeff Kanew,10806919.0,6.2,38.0,5817,,0,0,0,0,1985-05-03,101.0,Gotcha!,1985-01-01,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1224,Juan Piquer Simón,Dick Randall,Roberto Loyola,Christopher George,Lynda Day George,Frank Braña,Christopher George,Lynda Day George,Frank Braña,Edmund Purdom,300000.0,Juan Piquer Sim�n,2032311.0,6.1,nan,6254,,0,0,0,0,1982-08-23,85.0,Mil gritos tiene la noche,1982-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
