,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
8503,Robert Hall,Aaron Drane,Robert Hall,Robert Englund,Fiona Dourif,Felisha Terrell,Robert Englund,Fiona Dourif,Felisha Terrell,Cleopatra Coleman,"$1,000,000",R,Robert Hall,Horror,,5.1,,6330,,0,0,1,0,2014-10-22,95.0,Fear Clinic,http://www.imdb.com/title/tt2165765/,2014
8504,Richard A. Colla,Alan J. Levi,Glen A. Larson,Richard Hatch,Dirk Benedict,Lorne Greene,Richard Hatch,Dirk Benedict,Lorne Greene,Herbert Jefferson Jr.,"$3,000,000",PG,"Richard A. Colla, Alan J. Levi","Action, Adventure, Sci-Fi",,6.8,,6978,,0,0,0,0,1978-07-07,148.0,Battlestar Galactica,http://www.imdb.com/title/tt0077215/,1978
8505,Cate Shortland,Cate Shortland,Abbie Cornish,Sam Worthington,Lynette Curran,Abbie Cornish,Damian de Montemas,Olivia Pigeot,Alex Babic,Elizabeth Muntar,,NOT RATED,Cate Shortland,"Drama, Romance","$92,214,",6.8,73.0,6685,"AUD 70,769 (Australia),",0,0,15,41,2004-05-17,106.0,Somersault,http://www.imdb.com/title/tt0381429/,2004
8506,Bille Woodruff,Christina Welsh,Ernie Barbarash,Sharon Leal,Boris Kodjoe,John Newberg,Boris Kodjoe,Brandon Gonzales,Cameron Mills,Daniel O'Callaghan,"$5,000,000",R,Bille Woodruff,"Drama, Thriller","$17,382,982,",5.2,32.0,6922,,0,0,0,0,2014-10-08,106.0,Addicted,http://www.imdb.com/title/tt2205401/,2014
8507,Kôji Shiraishi,Jin Muraki,Rio Kanno,Tomono Kuga,Jin Muraki,Rio Kanno,Tomono Kuga,Marika Matsumoto,Angâruzu,Hiroshi Aramata,"$2,000,000",NR,K�ji Shiraishi,"Horror, Mystery, Thriller",,7.0,,7170,,0,0,0,0,2005-08-20,115.0,Noroi,http://www.imdb.com/title/tt0930083/,2005
8508,Shunji Iwai,Shunji Iwai,Hayato Ichihara,Shûgo Oshinari,Ayumi Itô,Hayato Ichihara,Shûgo Oshinari,Ayumi Itô,Takao Ohsawa,Miwako Ichikawa,,NR,Shunji Iwai,"Crime, Drama, Music, Romance, Thriller","$24,846,",7.7,73.0,6794,,0,0,0,4,2001-09-07,146.0,Riri Shushu no subete,http://www.imdb.com/title/tt0297721/,2001
8509,Ed Stone,John Hill,Amanda Peet,Dermot Mulroney,Sarah Paulson,Amanda Peet,Dermot Mulroney,Sarah Paulson,Blair Brown,Alison Elliott,,PG-13,Ed Stone,"Comedy, Drama, Romance",,7.1,,6716,,0,0,1,0,2006-09-12,102.0,Griffin & Phoenix,http://www.imdb.com/title/tt0460812/,2006
8510,Elia Kazan,F. Scott Fitzgerald,Harold Pinter,Robert De Niro,Tony Curtis,Robert Mitchum,Robert De Niro,Tony Curtis,Robert Mitchum,Jeanne Moreau,"$5,500,000",PG,Elia Kazan,"Drama, Romance","$1,819,912",6.3,,6854,,1,0,3,2,1976-11-17,123.0,The Last Tycoon,http://www.imdb.com/title/tt0074777/,1976
8511,Lili Fini Zanuck,Kim Wozencraft,Peter Dexter,Jason Patric,Jennifer Jason Leigh,Sam Elliott,Jason Patric,Jennifer Jason Leigh,Sam Elliott,Max Perlich,"$17,000,000",R,Lili Fini Zanuck,"Action, Crime, Drama, Romance, Thriller","$7,241,350",6.7,,6791,,0,0,4,2,1991-12-22,120.0,Rush,http://www.imdb.com/title/tt0102820/,1991
8512,Ján Kadár,Elmar Klos,Ladislav Grosman,Ladislav Grosman,Ida Kaminska,Jozef Kroner,Hana Slivková,Ida Kaminska,Jozef Kroner,Hana Slivková,,NOT RATED,"Elmar Klos, J�n Kad�r",Drama,,8.1,,6731,,0,1,4,5,1965-05-20,128.0,Obchod na korze,http://www.imdb.com/title/tt0059527/,1965
8513,Tim Hunter,Todd Slavkin,Darren Swimmer,Ray Liotta,Willem Dafoe,Michelle Rodriguez,Ray Liotta,Willem Dafoe,Michelle Rodriguez,Stephen Rea,"$6,800,000",R,Tim Hunter,"Crime, Sci-Fi, Thriller",,6.2,,6588,,0,0,1,0,2004-12-07,104.0,Control,http://www.imdb.com/title/tt0374584/,2004
8515,Anthony Mann,Ben Barzman,Basilio Franchina,Sophia Loren,Stephen Boyd,Alec Guinness,Sophia Loren,Stephen Boyd,Alec Guinness,James Mason,"$19,000,000",APPROVED,Anthony Mann,"Drama, History, War","$4,750,000",6.7,,6855,,1,0,1,1,1964-03-24,188.0,The Fall of the Roman Empire,http://www.imdb.com/title/tt0058085/,1964
8516,Michael Coldewey,Michel Lemire,Simon Bisley,R. Payne Cabeen,Michael Ironside,Julie Strain,Billy Idol,Michael Ironside,Julie Strain,Billy Idol,"$15,000,000",R,"Michel Lemire, Michael Coldewey","Animation, Action, Adventure, Fantasy, Sci-Fi",,5.4,,6783,,0,0,0,0,2000-04-19,88.0,Heavy Metal 2000,http://www.imdb.com/title/tt0119273/,2000
8517,Apoorva Lakhia,Apoorva Lakhia,Suresh Nair,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,Arbaaz Khan,,NR,Apoorva Lakhia,"Action, Biography, Crime","$289,232,",7.1,,7558,,0,0,1,3,2007-05-25,122.0,Shootout at Lokhandwala,http://www.imdb.com/title/tt0811066/,2007
8518,Rowdy Herrington,Rowdy Herrington,Cuba Gooding Jr.,Tom Berenger,Marianne Jean-Baptiste,Cuba Gooding Jr.,Tom Berenger,Marianne Jean-Baptiste,Eric Stoltz,Mark Pellegrino,,R,Rowdy Herrington,"Action, Crime, Thriller",,6.4,,6658,,0,0,0,0,1998-12-12,102.0,A Murder of Crows,http://www.imdb.com/title/tt0133985/,1998
8519,Sean Mathias,Martin Sherman,Martin Sherman,Lothaire Bluteau,Clive Owen,Mick Jagger,Mick Jagger,Clive Owen,Brian Webber,Nikolaj Coster-Waldau,,NC-17,Sean Mathias,"Drama, History, Romance, War","$372,341,",7.3,,6798,,0,0,3,3,1997-05-01,105.0,Bent,http://www.imdb.com/title/tt0118698/,1997
8520,Martha Coolidge,Robert Nelson Jacobs,Jack Lemmon,Walter Matthau,Dyan Cannon,Jack Lemmon,Walter Matthau,Dyan Cannon,Gloria DeHaven,Brent Spiner,,PG-13,Martha Coolidge,"Comedy, Romance","$27,974,168,",6.1,49.0,6834,,0,0,0,0,1997-07-02,106.0,Out to Sea,http://www.imdb.com/title/tt0119848/,1997
8521,Maryam Keshavarz,Maryam Keshavarz,Sarah Kazemy,Nikohl Boosheri,Reza Sixo Safai,Nikohl Boosheri,Sarah Kazemy,Reza Sixo Safai,Soheil Parsa,Nasrin Pakkho,,R,Maryam Keshavarz,Drama,"$441,404,",5.9,65.0,6733,,0,0,8,11,2011-01-01,107.0,Circumstance,http://www.imdb.com/title/tt1684628/,2011
8522,Don Bluth,Gary Goldman,Don Bluth,John Pomeroy,Glen Campbell,Christopher Plummer,Phil Harris,Phil Harris,Glen Campbell,Eddie Deezen,"$18,000,000",G,"Dan Kuenster, Gary Goldman, Don Bluth","Animation, Adventure, Comedy, Family, Music","$11,657,385",6.0,,6877,,0,0,0,0,1991-08-02,77.0,Rock-A-Doodle,http://www.imdb.com/title/tt0102802/,1991
8523,Jonathan Lynn,Jonathan Lynn,Eric Idle,Robbie Coltrane,Camille Coduri,Eric Idle,Robbie Coltrane,Camille Coduri,Janet Suzman,Doris Hare,,PG-13,Jonathan Lynn,"Comedy, Crime","$10,959,015",5.9,,6685,,0,0,0,0,1990-03-16,89.0,Nuns on the Run,http://www.imdb.com/title/tt0100280/,1990
8524,Denys Arcand,Denys Arcand,Gabriel Arcand,Dominique Michel,Dorothée Berryman,Louise Portal,Dominique Michel,Dorothée Berryman,Louise Portal,Pierre Curzi,"CAD 1,800,000",R,Denys Arcand,"Comedy, Drama","$1,902,706",7.3,,6705,,1,0,6,13,1986-06-19,101.0,Le d�clin de l'empire am�ricain,http://www.imdb.com/title/tt0090985/,1986
8525,Gregg Champion,Robert C. Thompson,William D. Wittliff,Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Ernie Hudson,"$35,000,000",PG-13,Gregg Champion,"Action, Comedy, Crime, Drama, Thriller, Western","$20,277,185",5.8,,6736,,0,0,0,0,1994-06-03,102.0,The Cowboy Way,http://www.imdb.com/title/tt0109493/,1994
8526,Sajid Khan,K. Raghavendra Rao,Sajid Khan,Ajay Devgn,Tamannaah Bhatia,Mahesh Manjrekar,Ajay Devgn,Tamannaah Bhatia,Paresh Rawal,Mahesh Manjrekar,"$10,000,000",NOT RATED,Sajid Khan,Action,"$270,880,",1.7,,6813,,0,0,1,2,2013-03-28,150.0,Himmatwala,http://www.imdb.com/title/tt2344678/,2013
8527,William Wyler,Sinclair Lewis,Sidney Howard,Walter Huston,Ruth Chatterton,Paul Lukas,Walter Huston,Ruth Chatterton,Paul Lukas,Mary Astor,,PASSED,William Wyler,"Drama, Romance",,8.1,,6778,,0,1,9,2,1936-09-23,101.0,Dodsworth,http://www.imdb.com/title/tt0027532/,1936
8528,James M. Muro,Roy Frumkes,Mike Lackey,Bill Chepil,Vic Noto,Mike Lackey,Bill Chepil,Vic Noto,Mark Sferrazza,Jane Arakawa,"$500,000",UNRATED,James M. Muro,"Comedy, Horror",,6.2,,7061,,0,0,0,1,1987-01-01,91.0,Street Trash,http://www.imdb.com/title/tt0094057/,1987
8529,Louis J. Gasnier,Lawrence Meade,Arthur Hoerl,Dorothy Short,Kenneth Craig,Lillian Miles,Dorothy Short,Kenneth Craig,Lillian Miles,Dave O'Brien,,PG,Louis J. Gasnier,"Drama, Thriller",,3.8,70.0,6789,,0,0,0,0,1938-01-01,66.0,Tell Your Children,http://www.imdb.com/title/tt0028346/,1936
8530,Gus Van Sant,Chris Sparling,Matthew McConaughey,Naomi Watts,Ken Watanabe,Matthew McConaughey,Ryoko Seta,Sienna Tow,Naoko Marshall,Michiko Tomura,"$25,000,000",PG-13,Gus Van Sant,Drama,"$20,083,",6.0,23.0,9149,,0,0,2,0,2015-05-16,110.0,The Sea of Trees,http://www.imdb.com/title/tt3450900/,2015
8531,Milorad Milinkovic,Milorad Milinkovic,Nikola Djuricko,Sonja Kolacaric,Tara Manic,Nikola Djuricko,Sonja Kolacaric,Tara Manic,Srdjan 'Zika' Todorovic,Nenad Jezdic,,NR,Milorad Milinkovic,"Comedy, Drama",,8.4,,6863,,0,0,0,0,2002-03-15,90.0,Mrtav 'ladan,http://www.imdb.com/title/tt0301634/,2002
8532,Harold Becker,Terry Davis,Darryl Ponicsan,Matthew Modine,Linda Fiorentino,Michael Schoeffling,Matthew Modine,Linda Fiorentino,Michael Schoeffling,Ronny Cox,,R,Harold Becker,"Drama, Romance, Sport","$12,900,000",6.5,,6738,,0,0,0,0,1985-02-15,107.0,Vision Quest,http://www.imdb.com/title/tt0090270/,1985
8533,Sidney Poitier,Brent Maddock,S.S. Wilson,Bill Cosby,Kimberly Russell,Denise Nicholas,Bill Cosby,Kimberly Russell,Denise Nicholas,Ian Bannen,,PG,Sidney Poitier,"Comedy, Family, Fantasy","$24,707,633",4.3,,6683,,0,0,3,0,1990-06-29,83.0,Ghost Dad,http://www.imdb.com/title/tt0099654/,1990
8534,Zoltan Korda,John Howard Lawson,Zoltan Korda,Humphrey Bogart,Bruce Bennett,J. Carrol Naish,Humphrey Bogart,Bruce Bennett,J. Carrol Naish,Lloyd Bridges,,APPROVED,Zoltan Korda,"Action, Drama, War","$2,300,000,",7.6,,6742,,3,0,0,0,1943-09-02,97.0,Sahara,http://www.imdb.com/title/tt0036323/,1943
8535,John Irvin,Gary DeVore,George Malko,Christopher Walken,Tom Berenger,Colin Blakely,Christopher Walken,Tom Berenger,Colin Blakely,Hugh Millais,,R,John Irvin,"Action, Adventure, Drama",,6.3,,6670,,0,0,0,0,1980-12-17,118.0,The Dogs of War,http://www.imdb.com/title/tt0080641/,1980
8536,Peter Greenaway,Peter Greenaway,Bernard Hill,Joan Plowright,Juliet Stevenson,Joan Plowright,Juliet Stevenson,Joely Richardson,Bernard Hill,Jason Edwards,,R,Peter Greenaway,"Comedy, Drama","$424,773",7.3,,6806,,0,0,1,3,1988-09-10,118.0,Drowning by Numbers,http://www.imdb.com/title/tt0092929/,1988
8537,Aki Kaurismäki,Aki Kaurismäki,Kati Outinen,Elina Salo,Esko Nikkari,Kati Outinen,Elina Salo,Esko Nikkari,Vesa Vierikko,Reijo Taipale,,NR,Aki Kaurism�ki,"Drama, Comedy",,7.6,,7089,,0,0,5,6,1990-01-12,68.0,Tulitikkutehtaan tytt�,http://www.imdb.com/title/tt0098532/,1990
8538,James Schamus,Philip Roth,James Schamus,Logan Lerman,Sarah Gadon,Tijuana Ricks,Tijuana Ricks,Sue Dahlman,Jason Jiang,Logan Lerman,,R,James Schamus,"Drama, Romance","$3,399,841,",6.8,78.0,9126,,0,0,4,0,2016-01-24,110.0,Indignation,http://www.imdb.com/title/tt4193394/,2016
8539,Norman Jewison,Nathaniel Benchley,William Rose,Carl Reiner,Eva Marie Saint,Alan Arkin,Carl Reiner,Eva Marie Saint,Alan Arkin,Brian Keith,,UNRATED,Norman Jewison,"Comedy, War","$21,693,114",7.1,,6711,,4,0,9,5,1966-05-25,126.0,The Russians Are Coming the Russians Are Coming,http://www.imdb.com/title/tt0060921/,1966
8540,Bryan Buckley,Melissa Rauch,Winston Rauch,Melissa Rauch,Gary Cole,Haley Lu Richardson,Melissa Rauch,Gary Cole,Thomas Middleditch,Sebastian Stan,"$3,500,000",R,Bryan Buckley,"Comedy, Drama","$615,654,",6.0,44.0,7946,,0,0,1,0,2015-01-22,100.0,The Bronze,http://www.imdb.com/title/tt3859304/,2015
8541,Sean Ellis,Sean Ellis,Frank E. Flowers,Jake Macapagal,John Arcilla,Althea Vega,Jake Macapagal,John Arcilla,Althea Vega,Erin Panlilio,"£250,000",NOT RATED,Sean Ellis,"Crime, Drama",,7.6,65.0,6903,,0,0,11,9,2013-01-20,115.0,Metro Manila,http://www.imdb.com/title/tt1845838/,2013
8542,Peter H. Hunt,Peter Stone,Sherman Edwards,William Daniels,Howard Da Silva,Ken Howard,William Daniels,Howard Da Silva,Ken Howard,Donald Madden,"$4,000,000",G,Peter H. Hunt,"Drama, Family, History, Musical","$6,104,000",7.6,,6695,,1,0,1,1,1972-11-09,141.0,1776,http://www.imdb.com/title/tt0068156/,1972
8543,Mac Carter,Andrew Barrer,Jacki Weaver,Liana Liberato,Harrison Gilbertson,Harrison Gilbertson,Liana Liberato,Jacki Weaver,Ione Skye,Brian Wimmer,,R,Mac Carter,"Horror, Mystery, Romance",,5.2,33.0,6909,,0,0,0,0,2014-02-07,86.0,Haunt,http://www.imdb.com/title/tt2386278/,2014
8544,Carroll Ballard,Farley Mowat,Curtis Hanson,Charles Martin Smith,Brian Dennehy,Zachary Ittimangnaq,Charles Martin Smith,Brian Dennehy,Zachary Ittimangnaq,Samson Jorah,,PG,Carroll Ballard,"Adventure, Drama","$29,600,000",7.6,,6692,,1,0,2,4,1983-10-06,105.0,Never Cry Wolf,http://www.imdb.com/title/tt0086005/,1983
8545,Trivikram Srinivas,Saigopal,Trivikram Srinivas,Pawan Kalyan,Samantha Ruth Prabhu,Pranitha,Pawan Kalyan,Samantha Ruth Prabhu,Pranitha,Boman Irani,,NR,Trivikram Srinivas,"Action, Comedy, Drama",,7.2,,7058,,0,0,5,5,2013-09-26,170.0,Atharintiki Daaredi,http://www.imdb.com/title/tt3042926/,2013
8546,John Huston,Claud Cockburn,Truman Capote,Humphrey Bogart,Jennifer Jones,Gina Lollobrigida,Humphrey Bogart,Jennifer Jones,Gina Lollobrigida,Robert Morley,"$1,000,000",APPROVED,John Huston,"Action, Adventure, Comedy, Crime, Drama, Romance",,6.6,,6800,,0,0,0,1,1953-11-24,89.0,Beat the Devil,http://www.imdb.com/title/tt0046414/,1953
8547,Enzo Barboni,Marco Barboni,Terence Hill,Bud Spencer,Buffy Dee,Terence Hill,Bud Spencer,Buffy Dee,David Huddleston,Riccardo Pizzuti,,NR,Enzo Barboni,"Action, Adventure, Comedy",,7.2,,7015,,0,0,0,0,1983-09-23,107.0,Nati con la camicia,http://www.imdb.com/title/tt0085601/,1983
8548,Marcel Carné,Pierre Dumarchais,Jacques Prévert,Jean Gabin,Michel Simon,Michèle Morgan,Jean Gabin,Michel Simon,Michèle Morgan,Pierre Brasseur,,APPROVED,Marcel Carn�,"Crime, Drama, Romance, Thriller","$26,765,",7.7,,6811,,0,0,1,6,1938-05-17,91.0,Le quai des brumes,http://www.imdb.com/title/tt0030643/,1938
8549,Bertrand Blier,Bertrand Blier,Bertrand Blier,Gérard Depardieu,Patrick Dewaere,Miou-Miou,Gérard Depardieu,Patrick Dewaere,Miou-Miou,Jeanne Moreau,,R,Bertrand Blier,"Comedy, Drama",,7.4,,6812,,0,0,0,0,1974-03-20,150.0,Les valseuses,http://www.imdb.com/title/tt0072353/,1974
8550,Todd Louiso,Gordy Hoffman,Philip Seymour Hoffman,Annie Morgan,Kathy Bates,Philip Seymour Hoffman,J.D. Walsh,Jimmy Raskin,Kathy Bates,Erika Alexander,"$1,000,000",R,Todd Louiso,"Comedy, Drama","$211,724,",7.0,58.0,6631,,0,0,3,2,2002-01-14,90.0,Love Liza,http://www.imdb.com/title/tt0282698/,2002
8551,Mark Rydell,Bo Goldman,Bill Kerby,Bette Midler,Alan Bates,Frederic Forrest,Bette Midler,Alan Bates,Frederic Forrest,Harry Dean Stanton,"$8,500,000",R,Mark Rydell,"Drama, Music, Romance","$29,200,000",7.0,67.0,6773,,4,0,8,5,1979-11-07,125.0,The Rose,http://www.imdb.com/title/tt0079826/,1979
8552,Roel Reiné,Lars Boom,Alex van Galen,Frank Lammers,Sanne Langelaar,Barry Atsma,Frank Lammers,Sanne Langelaar,Barry Atsma,Lieke van Lexmond,"€8,000,000",TV-PG,Roel Rein�,"Action, Adventure, Biography, Drama, History",,7.0,,7106,"€827,933 (Netherlands),",0,0,5,0,2015-01-26,151.0,Michiel de Ruyter,http://www.imdb.com/title/tt2544766/,2015
8553,Gordon Chan,Gordon Chan,Hing-Ka Chan,Jackie Chan,Anita Yuen,Michael Wong,Jackie Chan,Anita Yuen,Michael Wong,Thorsten Nickel,"HKD 2,000,000,000",R,Gordon Chan,"Action, Comedy, Drama, Thriller",,6.4,,6887,,0,0,1,1,1995-08-05,110.0,Pik lik foh,http://www.imdb.com/title/tt0114126/,1995
8554,Greg Francis,Doug Buchanan,Greg Francis,Beau Mirchoff,Ron Perlman,Giancarlo Esposito,Beau Mirchoff,Ron Perlman,Giancarlo Esposito,Titus Welliver,,TV-14,Greg Francis,"Action, Crime, Mystery, Thriller",,6.3,35.0,6902,,0,0,0,0,2014-11-20,104.0,Poker Night,http://www.imdb.com/title/tt2548208/,2014
8555,Brian De Palma,Brian De Palma,Paul Schrader,Cliff Robertson,Geneviève Bujold,John Lithgow,Cliff Robertson,Geneviève Bujold,John Lithgow,Sylvia Kuumba Williams,"$1,400,000",PG,Brian De Palma,"Drama, Mystery, Thriller",,6.8,,7043,,1,0,1,3,1976-08-01,98.0,Obsession,http://www.imdb.com/title/tt0074991/,1976
8556,Jörg Buttgereit,Jörg Buttgereit,Franz Rodenkirchen,Bernd Daktari Lorenz,Beatrice Manowski,Harald Lundt,Bernd Daktari Lorenz,Beatrice Manowski,Harald Lundt,Colloseo Schulzendorf,,NOT RATED,J�rg Buttgereit,Horror,,5.1,,6877,,0,0,0,0,1987-01-01,75.0,Nekromantik,http://www.imdb.com/title/tt0093608/,1987
8557,Jim Wynorski,Jim Wynorski,Steve Mitchell,Kelli Maroney,Tony O'Dell,Russell Todd,Kelli Maroney,Tony O'Dell,Russell Todd,Karrie Emerson,"$800,000",R,Jim Wynorski,"Comedy, Horror, Sci-Fi",,5.6,,7467,,0,0,0,0,1986-03-21,77.0,Chopping Mall,http://www.imdb.com/title/tt0090837/,1986
8558,John Ford,Laurence Stallings,Frank S. Nugent,John Wayne,Pedro Armendáriz,Harry Carey Jr.,John Wayne,Pedro Armendáriz,Harry Carey Jr.,Ward Bond,"$1,243,000",PASSED,John Ford,"Drama, Western","$2,841,000,",7.2,,6799,,0,0,0,0,1948-11-25,106.0,3 Godfathers,http://www.imdb.com/title/tt0040064/,1948
8559,Charles Martin Smith,Charles Martin Smith,Karen Janszen,Morgan Freeman,Ashley Judd,Nathan Gamble,Morgan Freeman,Ashley Judd,Juliana Harkavy,Harry Connick Jr.,"$36,000,000",PG,Charles Martin Smith,"Drama, Family","$42,019,483,",6.4,58.0,6873,,0,0,3,0,2014-09-11,107.0,Dolphin Tale 2,http://www.imdb.com/title/tt2978462/,2014
8560,Menno Meyjes,Menno Meyjes,John Cusack,Noah Taylor,Leelee Sobieski,John Cusack,Noah Taylor,Leelee Sobieski,Molly Parker,Ulrich Thomsen,"$11,000,000",R,Menno Meyjes,"Drama, War","$527,019,",6.6,56.0,6537,,0,0,5,3,2002-09-10,106.0,Max,http://www.imdb.com/title/tt0290210/,2002
8561,Ulrich Seidl,Ulrich Seidl,Veronika Franz,Margarete Tiesel,Peter Kazungu,Inge Maux,Margarete Tiesel,Peter Kazungu,Inge Maux,Dunja Sowinetz,"€3,600,000",UNRATED,Ulrich Seidl,Drama,"$23,808,",7.1,65.0,6950,,0,0,7,3,2012-05-18,120.0,Paradies: Liebe,http://www.imdb.com/title/tt1403214/,2012
8562,Anthony Mann,Valentine Davies,Oscar Brodney,James Stewart,June Allyson,Harry Morgan,James Stewart,June Allyson,Harry Morgan,Charles Drake,,APPROVED,Anthony Mann,"Biography, Drama, Music, Musical, Romance",,7.3,,6803,,0,1,6,0,1954-01-04,115.0,The Glenn Miller Story,http://www.imdb.com/title/tt0047030/,1954
8563,Michael Curtiz,Albert Husson,Ranald MacDougall,Humphrey Bogart,Peter Ustinov,Aldo Ray,Humphrey Bogart,Aldo Ray,Peter Ustinov,Joan Bennett,"$1,685,000",NOT RATED,Michael Curtiz,"Comedy, Crime, Romance","$3,000,000,",7.5,,6717,,0,0,0,0,1955-07-07,106.0,We're No Angels,http://www.imdb.com/title/tt0048801/,1955
8564,Kat Coiro,Kat Coiro,Krysten Ritter,Krysten Ritter,Kate Bosworth,Rachel Bilson,Krysten Ritter,Kate Bosworth,Rachel Bilson,Geoff Stults,"$930,000",R,Kat Coiro,Comedy,"$2,000,000,",5.6,44.0,6699,,0,0,0,0,2011-06-18,100.0,L!fe Happens,http://www.imdb.com/title/tt1726589/,2011
8565,John Fortenberry,Barbara Williams,Samantha Adams,Pauly Shore,Tia Carrere,Stanley Tucci,Pauly Shore,Tia Carrere,Stanley Tucci,Brian Doyle-Murray,,PG-13,John Fortenberry,Comedy,"$17,014,653",4.1,,6646,,0,0,1,1,1995-04-12,88.0,Jury Duty,http://www.imdb.com/title/tt0113500/,1995
8566,Bora Dagtekin,Bora Dagtekin,Andy Raymer,Josefine Preuß,Elyas M'Barek,Anna Stieblich,Josefine Preuß,Elyas M'Barek,Anna Stieblich,Adnan Maral,,NR,Bora Dagtekin,"Adventure, Comedy",,5.8,,6874,,0,0,2,3,2012-03-15,105.0,T�rkisch f�r Anf�nger,http://www.imdb.com/title/tt1650536/,2012
8567,Jirí Menzel,Bohumil Hrabal,Jirí Menzel,Ivan Barnev,Oldrich Kaiser,Julia Jentsch,Ivan Barnev,Oldrich Kaiser,Julia Jentsch,Marián Labuda,"CZK 84,450,000",R,Jir� Menzel,"Comedy, Drama, Romance, War","$617,228,",7.4,72.0,6647,,0,0,12,10,2006-12-19,113.0,Obsluhoval jsem anglick�ho kr�le,http://www.imdb.com/title/tt0284363/,2006
8568,Mike Barker,Ted Griffin,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Gene Wolande,Jonathan McMurtry,"$7,000,000",R,Mike Barker,"Crime, Drama, Thriller","$25,651,",6.2,40.0,6616,,0,0,0,1,1999-05-14,92.0,Best Laid Plans,http://www.imdb.com/title/tt0133412/,1999
8569,Brad McGann,Maurice Gee,Brad McGann,Matthew Macfadyen,Miranda Otto,Emily Barclay,Matthew Macfadyen,Miranda Otto,Emily Barclay,Colin Moy,"NZD 7,000,000",R,Brad McGann,"Drama, Mystery, Thriller",,7.7,,6634,,0,0,5,19,2004-06-11,127.0,In My Father's Den,http://www.imdb.com/title/tt0385017/,2004
8570,Tobi Baumann,Oliver Kalkofe,Oliver Welke,Oliver Kalkofe,Bastian Pastewka,Thomas Fritsch,Oliver Kalkofe,Bastian Pastewka,Tanja Wenzel,Olli Dittrich,"€4,700,000",NR,Tobi Baumann,"Comedy, Crime, Mystery",,6.1,,6777,"$2,685,427 (Germany),",0,0,1,1,2004-05-10,85.0,Der Wixxer,http://www.imdb.com/title/tt0313021/,2004
8571,Mario Bava,Mario Bava,Giuseppe Zaccariello,Claudine Auger,Luigi Pistilli,Claudio Camaso,Claudine Auger,Luigi Pistilli,Claudio Camaso,Anna Maria Rosati,,R,Mario Bava,"Horror, Mystery, Thriller",,6.7,,7088,,0,0,0,3,1971-09-08,84.0,Reazione a catena,http://www.imdb.com/title/tt0067656/,1971
8572,Frank Tuttle,Albert Maltz,W.R. Burnett,Alan Ladd,Veronica Lake,Robert Preston,Veronica Lake,Robert Preston,Laird Cregar,Alan Ladd,"$500,000",PASSED,Frank Tuttle,"Crime, Drama, Film-Noir, Thriller","$12,000,000,",7.5,,6721,,0,0,0,1,1942-04-24,81.0,This Gun for Hire,http://www.imdb.com/title/tt0035432/,1942
8573,Franco Zeffirelli,Frances Marion,Walter Newman,Jon Voight,Faye Dunaway,Ricky Schroder,Jon Voight,Faye Dunaway,Ricky Schroder,Jack Warden,,PG,Franco Zeffirelli,"Drama, Sport","$30,441,738",6.8,,6729,,1,0,6,2,1979-03-20,121.0,The Champ,http://www.imdb.com/title/tt0078950/,1979
8574,Jérôme Salle,Julien Rappeneau,Jérôme Salle,Tomer Sisley,Sharon Stone,Ulrich Tukur,Tomer Sisley,Sharon Stone,Ulrich Tukur,Napakpapha Nakprasitte,"€20,000,000",NR,J�r�me Salle,"Action, Adventure, Thriller","$14,046,075,",6.2,,6750,"€3,121,362 (France),",0,0,0,1,2011-02-16,114.0,Largo Winch II,http://www.imdb.com/title/tt1322333/,2011
8575,Ken Loach,Paul Laverty,Peter Mullan,Louise Goodall,Gary Lewis,Peter Mullan,Louise Goodall,Gary Lewis,Lorraine McIntosh,David McKay,,R,Ken Loach,"Drama, Romance","$346,696,",7.5,,6634,"£89,656 (United Kingdom),",0,0,10,13,1998-05-15,105.0,My Name Is Joe,http://www.imdb.com/title/tt0151691/,1998
8576,Joseph Zito,Glenn Leopold,Neal Barbera,Vicky Dawson,Christopher Goutman,Lawrence Tierney,Vicky Dawson,Christopher Goutman,Lawrence Tierney,Farley Granger,"$1,000,000",R,Joseph Zito,"Horror, Mystery, Thriller",,6.2,,7047,,0,0,0,0,1981-11-06,89.0,The Prowler,http://www.imdb.com/title/tt0082951/,1981
8577,John Huston,John Lee Mahin,John Huston,Robert Mitchum,Deborah Kerr,Deborah Kerr,Robert Mitchum,Twentieth Century Fox,NA,NA,"$3,000,000",APPROVED,John Huston,"Action, Adventure, Drama, War",,7.4,,6765,,2,0,5,1,1957-03-13,108.0,"Heaven Knows, Mr. Allison",http://www.imdb.com/title/tt0050490/,1957
