,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
9662,Anatole Litvak,Frank Partos,Millen Brand,Olivia de Havilland,Mark Stevens,Leo Genn,Olivia de Havilland,Mark Stevens,Leo Genn,Celeste Holm,,APPROVED,Anatole Litvak,"Drama, Mystery","$10,000,000",7.7,,5451,,0,1,9,9,1948-11-04,108.0,The Snake Pit,http://www.imdb.com/title/tt0040806/,1948
9663,Tony Giglio,Dan Kay,Josh Randall,Brianna Brown,Nick Searcy,Josh Randall,Brianna Brown,Nick Searcy,Beth Broderick,Sascha Rosemann,"$2,600,000",R,Tony Giglio,"Horror, Thriller","$666,892,",5.3,,5290,,0,0,0,0,2007-07-27,100.0,Timber Falls,http://www.imdb.com/title/tt0857295/,2007
9664,Peter Greenaway,Peter Greenaway,Brian Deacon,Eric Deacon,Andréa Ferréol,Andréa Ferréol,Brian Deacon,Eric Deacon,Frances Barber,Joss Ackland,,NOT RATED,Peter Greenaway,"Comedy, Drama",,7.5,,5410,,0,0,0,0,1985-10-04,115.0,A Zed & Two Noughts,http://www.imdb.com/title/tt0090366/,1985
9665,Haim Tabakman,Merav Doster,Zohar Shtrauss,Ran Danker,Tinkerbell,Zohar Shtrauss,Ran Danker,Tinkerbell,Tzahi Grad,Isaac Sharry,,NOT RATED,Haim Tabakman,"Drama, Romance","$24,708,",7.3,70.0,5436,,0,0,9,3,2009-05-20,91.0,Einayim Petukhoth,http://www.imdb.com/title/tt1424327/,2009
9666,Christophe Honoré,Georges Bataille,Christophe Honoré,Isabelle Huppert,Louis Garrel,Emma de Caunes,Isabelle Huppert,Louis Garrel,Emma de Caunes,Joana Preiss,,NC-17,Christophe Honor�,"Drama, Romance","$70,395,",5.1,35.0,5429,,0,0,2,0,2004-05-19,110.0,Ma m�re,http://www.imdb.com/title/tt0381392/,2004
9667,Richie Mehta,Richie Mehta,John Paul Ruttan,Rufus Sewell,Gillian Anderson,John Paul Ruttan,Rufus Sewell,Gillian Anderson,Kiara Glasco,Jonah Wineberg,,NOT RATED,Richie Mehta,"Drama, Mystery, Sci-Fi",,6.1,,5514,,0,0,0,0,2013-07-28,93.0,I'll Follow You Down,http://www.imdb.com/title/tt2048770/,2013
9668,Jake Kasdan,Jake Kasdan,David Duchovny,Sigourney Weaver,Ioan Gruffudd,David Duchovny,Sigourney Weaver,Ioan Gruffudd,Judy Greer,Fran Kranz,,R,Jake Kasdan,"Comedy, Drama","$265,198,",6.6,65.0,5196,,0,0,1,0,2006-04-28,88.0,The TV Set,http://www.imdb.com/title/tt0473709/,2006
9669,Jasmila Zbanic,Jasmila Zbanic,Mirjana Karanovic,Luna Zimic Mijovic,Leon Lucev,Mirjana Karanovic,Luna Zimic Mijovic,Leon Lucev,Kenan Catic,Jasna Beri,,NR,Jasmila Zbanic,Drama,"$43,060,",7.3,71.0,5314,,0,0,4,11,2006-02-12,90.0,Grbavica,http://www.imdb.com/title/tt0464029/,2006
9670,Douglas Hickox,Cy Endfield,Cy Endfield,Burt Lancaster,Simon Ward,Denholm Elliott,Burt Lancaster,Simon Ward,Denholm Elliott,Peter Vaughan,,PG,Douglas Hickox,"Adventure, Drama, History, War",,6.6,,5388,,0,0,0,1,1979-05-15,117.0,Zulu Dawn,http://www.imdb.com/title/tt0080180/,1979
9671,Mira Nair,William Wheeler,Tim Crothers,Madina Nalwanga,David Oyelowo,Lupita Nyong'o,Madina Nalwanga,David Oyelowo,Lupita Nyong'o,Martin Kabanza,"$15,000,000",PG,Mira Nair,"Biography, Drama, Sport","$10,367,161,",7.4,73.0,10106,,0,0,18,2,2016-09-10,124.0,Queen of Katwe,http://www.imdb.com/title/tt4341582/,2016
9672,Nicholas Ray,Philip Yordan,Jeffrey Hunter,Siobhan McKenna,Hurd Hatfield,Jeffrey Hunter,Siobhan McKenna,Hurd Hatfield,Ron Randell,Viveca Lindfors,"$5,037,000",PG-13,Nicholas Ray,"Biography, Drama, History","$25,000,000,",7.1,,5527,,0,0,0,0,1961-10-11,168.0,King of Kings,http://www.imdb.com/title/tt0055047/,1961
9673,Hakan Algül,Ata Demirer,Ata Demirer,Tarik Ünlüoglu,Numan Acar,Ata Demirer,Tarik Ünlüoglu,Numan Acar,Mert Aran,Necati Bilgiç,,NR,Hakan Alg�l,"Comedy, Family, Sport",,5.2,,5537,,0,0,0,0,2012-01-26,98.0,Berlin Kaplani,http://www.imdb.com/title/tt2142711/,2012
9674,Po-Chih Leong,Paul Hoffman,Jude Law,Elina Löwensohn,Timothy Spall,Jude Law,Elina Löwensohn,Timothy Spall,Jack Davenport,Colin Salmon,,R,Po-Chih Leong,"Crime, Mystery, Romance, Thriller","$21,404,",6.3,58.0,5224,,0,0,1,3,1998-11-27,98.0,The Wisdom of Crocodiles,http://www.imdb.com/title/tt0120894/,1998
