,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1565,Don Bluth,Robert C. O'Brien,Don Bluth,Elizabeth Hartman,Derek Jacobi,Dom DeLuise,Derek Jacobi,Elizabeth Hartman,Arthur Malet,Dom DeLuise,,Don Bluth,14665733.0,7.6,76.0,30460,,0,0,2,1,1982-07-02,82.0,The Secret of NIMH,1982-01-01,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1980,,,37487893.19561658,,
1566,James Algar,Gaëtan Brizzi,Eric Goldberg,Hans Christian Andersen,James Levine,Steve Martin,Itzhak Perlman,Steve Martin,Itzhak Perlman,Quincy Jones,,Eric Goldberg Don Hahn Francis Glebas Hendel Butoy James Algar Paul Brizzi Ga�tan Brizzi Pixote Hunt,90874570.0,7.2,59.0,30187,,0,0,6,4,1999-12-17,75.0,Fantasia 2000,1999-01-01,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1990,,,134569649.15101308,,
1567,Tim Hill,Joel Cohen,Alec Sokolow,Breckin Meyer,Jennifer Love Hewitt,Billy Connolly,Breckin Meyer,Jennifer Love Hewitt,Billy Connolly,Bill Murray,,Tim Hill,141702264.0,5.0,37.0,31512,,0,0,4,0,2006-06-15,82.0,Garfield: A Tail of Two Kitties,2006-01-01,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,173387900.05954152,,
1568,Roman Polanski,Roland Topor,Gérard Brach,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet,,Roman Polanski,5132555.0,7.8,nan,31151,,0,0,2,0,1976-05-24,126.0,Le locataire,1976-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,,,22247044.241367526,,
1569,Steve Carr,Ice Cube,DJ Pooh,Ice Cube,Mike Epps,Justin Pierce,Ice Cube,Mike Epps,Justin Pierce,John Witherspoon,,Steve Carr,59827328.0,6.1,41.0,30785,,0,0,1,0,2000-01-11,98.0,Next Friday,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,85700041.64013939,,
1570,Christopher McQuarrie,Christopher McQuarrie,Ryan Phillippe,Benicio Del Toro,Juliette Lewis,Ryan Phillippe,Benicio Del Toro,Juliette Lewis,Taye Diggs,Nicky Katt,,Christopher McQuarrie,13069740.0,6.7,49.0,28811,,0,0,0,0,2000-09-08,119.0,The Way of the Gun,2000-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,18721833.310452964,,
1571,Ron Howard,Thomas Eidson,Ken Kaufman,Tommy Lee Jones,Cate Blanchett,Evan Rachel Wood,Tommy Lee Jones,Cate Blanchett,Evan Rachel Wood,Jenna Boyd,,Ron Howard,27011180.0,6.5,55.0,29439,,0,0,8,2,2003-11-26,137.0,The Missing,2003-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,36219184.20273054,,
1572,Joon-ho Bong,Joon-ho Bong,Eun-kyo Park,Hye-ja Kim,Bin Won,Goo Jin,Hye-ja Kim,Bin Won,Goo Jin,Je-mun Yun,,Joon-ho Bong,547292.0,7.8,79.0,32835,,0,0,43,37,2009-05-16,129.0,Madeo,2009-01-01,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,629261.9471140177,,
1573,John Bonito,Michelle Gallagher,Michelle Gallagher,John Cena,Kelly Carlson,Robert Patrick,John Cena,Robert Patrick,Kelly Carlson,Anthony Ray Parker,,John Bonito,18843314.0,4.7,45.0,29302,,0,0,0,0,2006-10-03,92.0,The Marine,2006-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,23056813.29567578,,
1574,François Truffaut,Henri-Pierre Roché,François Truffaut,Jeanne Moreau,Oskar Werner,Henri Serre,Jeanne Moreau,Oskar Werner,Henri Serre,Vanna Urbino,,Fran�ois Truffaut,,7.9,nan,30670,,0,0,1,3,1962-01-23,105.0,Jules et Jim,1962-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1960,,,,,
