,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
175,Shekhar Kapur,William Nicholson,Michael Hirst,Cate Blanchett,Clive Owen,Geoffrey Rush,Jordi Mollà,Aimee King,Cate Blanchett,Laurence Fox,,Shekhar Kapur,74870866.0,6.9,45.0,58857,,0,1,29,5,2007-09-09,114.0,Elizabeth: The Golden Age,2007-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,89071926.25240916,,
176,Ron Howard,Brian Grazer,Bruce Jay Friedman,Tom Hanks,Daryl Hannah,Eugene Levy,Tom Hanks,Daryl Hannah,Eugene Levy,John Candy,,Ron Howard,62100000.0,6.2,71.0,59456,,1,0,8,2,1984-03-09,111.0,Splash,1984-01-01,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,,,147455269.4200081,,
177,Jay Chandrasekhar,Jay Chandrasekhar,Kevin Heffernan,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,M.C. Gainey,Paul Soter,Erik Stolhanske,Cloris Leachman,,Jay Chandrasekhar,20387597.0,6.3,46.0,57513,,0,0,3,1,2006-08-25,110.0,Beerfest,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,24946408.97967734,,
178,David Ayer,David Ayer,Christian Bale,Freddy Rodríguez,Eva Longoria,Christian Bale,Freddy Rodríguez,Eva Longoria,Chaka Forman,Tammy Trull,,David Ayer,5967038.0,6.9,56.0,57855,,0,0,2,0,2005-09-11,116.0,Harsh Times,2005-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,7536846.406677732,,
179,Clint Eastwood,Richard LaGravenese,Robert James Waller,Clint Eastwood,Meryl Streep,Annie Corley,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,,Clint Eastwood,182016617.0,7.6,66.0,60117,,1,0,14,6,1995-06-02,135.0,The Bridges of Madison County,1995-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,294637582.2504271,,
180,Iain Softley,Rafael Moreu,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard,Laurence Mason,,Iain Softley,7564000.0,6.2,46.0,58483,,0,0,0,0,1995-09-15,107.0,Hackers,1995-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,12244149.51159229,,
181,Curtis Hanson,Michael Chabon,Steve Kloves,Michael Douglas,Tobey Maguire,Frances McDormand,Michael Douglas,Tobey Maguire,Frances McDormand,Robert Downey Jr.,,Curtis Hanson,8312406.0,7.4,73.0,56966,,0,1,46,19,2000-02-22,107.0,Wonder Boys,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,11907159.55641115,,
182,Tommy Wirkola,Tommy Wirkola,Stig Frode Henriksen,Jeppe Beck Laursen,Charlotte Frogner,Jenny Skavlan,Vegar Hoel,Stig Frode Henriksen,Charlotte Frogner,Lasse Valdal,,Tommy Wirkola,1984662.0,6.3,61.0,58373,,0,0,1,1,2009-01-09,90.0,D�d sn�,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,,,2281912.1684278236,,
183,Scott Derrickson,Scott Derrickson,Paul Harris Boardman,Eric Bana,Edgar Ramírez,Olivia Munn,Eric Bana,Edgar Ramírez,Olivia Munn,Chris Coy,,Scott Derrickson,87937815.0,6.2,40.0,59758,,0,0,4,2,2014-06-24,118.0,Deliver Us from Evil,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,91627456.80394174,,
184,Wes Anderson,Owen Wilson,Wes Anderson,Luke Wilson,Owen Wilson,Ned Dowd,Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler,,Wes Anderson,560069.0,7.1,65.0,59528,,0,0,1,2,1996-02-21,91.0,Bottle Rocket,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,880788.3975836788,,
185,Frank Capra,Julius J. Epstein,Philip G. Epstein,Cary Grant,Priscilla Lane,Raymond Massey,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson,,Frank Capra,,8.0,nan,58415,,0,0,1,0,1944-09-01,118.0,Arsenic and Old Lace,1944-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1940,,,,,
186,Paul Weiland,Adam Sztykiel,Deborah Kaplan,Patrick Dempsey,Michelle Monaghan,Kevin McKidd,Patrick Dempsey,Michelle Monaghan,Kevin McKidd,Kadeem Hardison,,Paul Weiland,105962760.0,5.9,37.0,59337,,0,0,1,1,2008-04-21,101.0,Made of Honor,2008-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,121403357.38639657,,
187,Rupert Wainwright,Tom Lazarus,Tom Lazarus,Patricia Arquette,Gabriel Byrne,Jonathan Pryce,Patricia Arquette,Gabriel Byrne,Jonathan Pryce,Nia Long,,Rupert Wainwright,89446268.0,6.2,28.0,57819,,0,0,6,0,1999-09-10,103.0,Stigmata,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,132454578.90615039,,
188,Kevin Smith,Kevin Smith,Ben Affleck,Liv Tyler,Raquel Castro,Betty Aberlin,Matt McFarland,Sarah Stafford,Paulie Litt,Christian Fan,,Kevin Smith,25266129.0,6.2,43.0,57799,,0,0,7,2,2004-03-09,102.0,Jersey Girl,2004-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,32995874.57196257,,
189,Harold Becker,Ryne Douglas Pearson,Lawrence Konner,Bruce Willis,Miko Hughes,Alec Baldwin,Bruce Willis,Alec Baldwin,Miko Hughes,Chi McBride,,Harold Becker,93107289.0,6.1,nan,58459,,0,0,0,2,1998-04-01,111.0,Mercury Rising,1998-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,140892685.70136958,,
190,Kathryn Bigelow,James Cameron,James Cameron,Ralph Fiennes,Angela Bassett,Juliette Lewis,Ralph Fiennes,Angela Bassett,Juliette Lewis,Tom Sizemore,,Kathryn Bigelow,7919000.0,7.2,nan,58784,,0,0,4,2,1995-09-03,145.0,Strange Days,1995-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,12818802.218706945,,
191,P.J. Hogan,J.M. Barrie,P.J. Hogan,Jeremy Sumpter,Jason Isaacs,Olivia Williams,Jason Isaacs,Jeremy Sumpter,Rachel Hurd-Wood,Lynn Redgrave,,P.J. Hogan,121975011.0,6.9,64.0,58167,,0,0,13,3,2003-12-09,113.0,Peter Pan,2003-01-01,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,163555808.79987782,,
192,Ali Abbas Zafar,Ali Abbas Zafar,Sanjay Masoomm,Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan,,Ali Abbas Zafar,,2.1,nan,55294,,0,0,4,1,2014-02-13,152.0,Gunday,2014-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,,,,,
193,Niels Arden Oplev,J.H. Wyman,Colin Farrell,Noomi Rapace,Dominic Cooper,Colin Farrell,Noomi Rapace,Terrence Howard,Dominic Cooper,Isabelle Huppert,,Niels Arden Oplev,10880926.0,6.5,39.0,58624,,0,0,0,0,2013-03-08,118.0,Dead Man Down,2013-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,11521380.236537326,,
194,André Øvredal,André Øvredal,Otto Jespersen,Robert Stoltenberg,Knut Nærum,Otto Jespersen,Glenn Erland Tosterud,Johanna Mørck,Tomas Alf Larsen,Urmila Berg-Domaas,,Andr� �vredal,252652.0,7.0,61.0,59798,,0,0,12,10,2010-10-29,103.0,Trolljegeren,2010-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,285805.29355141235,,
195,Steven Quale,John Swetnam,Richard Armitage,Sarah Wayne Callies,Matt Walsh,Richard Armitage,Sarah Wayne Callies,Matt Walsh,Max Deacon,Nathan Kress,,Steven Quale,161502194.0,5.8,44.0,58137,,0,0,1,2,2014-07-28,89.0,Into the Storm,2014-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,168278405.6492286,,
196,Ash Brannon,Chris Buck,Don Rhymer,Ash Brannon,Shia LaBeouf,Zooey Deschanel,Jon Heder,Shia LaBeouf,Jeff Bridges,Zooey Deschanel,,Chris Buck Ash Brannon,149044513.0,6.7,64.0,58711,,1,0,17,2,2007-06-02,85.0,Surf's Up,2007-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,177314389.15455097,,
197,Kevin Costner,Lauran Paine,Craig Storper,Kevin Costner,Robert Duvall,Diego Luna,Robert Duvall,Kevin Costner,Annette Bening,Michael Gambon,,Kevin Costner,68613992.0,7.5,67.0,58275,,0,0,4,1,2003-08-11,139.0,Open Range,2003-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,92004229.92008048,,
198,Martin Brest,George Gallo,Robert De Niro,Charles Grodin,Yaphet Kotto,Robert De Niro,Charles Grodin,Yaphet Kotto,John Ashton,Dennis Farina,,Martin Brest,81613606.0,7.6,78.0,59634,,0,0,2,2,1988-07-11,126.0,Midnight Run,1988-01-01,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,170233640.34180924,,
199,John Carpenter,John Carpenter,Nick Castle,Kurt Russell,Steve Buscemi,Stacy Keach,Kurt Russell,Steve Buscemi,Peter Fonda,Cliff Robertson,,John Carpenter,16800000.0,5.7,54.0,59654,,0,0,2,0,1996-08-09,101.0,Escape from L.A.,1996-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,26420396.557220276,,
200,Lee Tamahori,Michael Thomas,Latif Yahia,Dominic Cooper,Ludivine Sagnier,Raad Rawi,Dominic Cooper,Ludivine Sagnier,Raad Rawi,Philip Quast,,Lee Tamahori,1357042.0,7.1,52.0,56537,,0,0,2,0,2011-01-22,109.0,The Devil's Double,2011-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,1488136.5393535087,,
201,Kinka Usher,Neil Cuthbert,Bob Burden,Ben Stiller,Janeane Garofalo,William H. Macy,Hank Azaria,Janeane Garofalo,William H. Macy,Kel Mitchell,,Kinka Usher,29655590.0,6.1,65.0,56619,,0,0,3,0,1999-07-22,121.0,Mystery Men,1999-01-01,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,43914841.54110761,,
202,Ivan Reitman,Don Payne,Uma Thurman,Luke Wilson,Anna Faris,Uma Thurman,Luke Wilson,Anna Faris,Rainn Wilson,Eddie Izzard,,Ivan Reitman,38365852.0,5.1,50.0,56721,,0,0,1,1,2006-07-20,96.0,My Super Ex-Girlfriend,2006-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,46944729.91818368,,
203,Alan Parker,Oliver Stone,Billy Hayes,Brad Davis,Irene Miracle,Bo Hopkins,Brad Davis,Irene Miracle,Bo Hopkins,Paolo Bonacelli,,Alan Parker,35000000.0,7.6,59.0,60341,,0,2,14,14,1978-05-18,121.0,Midnight Express,1978-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,,,132346678.59644082,,
204,Frank Miller,Frank Miller,Will Eisner,Gabriel Macht,Samuel L. Jackson,Scarlett Johansson,Jaime King,Gabriel Macht,Dan Gerrity,Arthur the Cat,,Frank Miller,19781879.0,4.8,30.0,55992,,0,0,2,0,2008-12-25,103.0,The Spirit,2008-01-01,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,22664439.148352247,,
205,Garry Marshall,Meg Cabot,Gina Wendkos,Anne Hathaway,Callum Blue,Julie Andrews,Anne Hathaway,Julie Andrews,Hector Elizondo,John Rhys-Davies,,Garry Marshall,134734481.0,5.8,43.0,61150,,0,0,2,1,2004-08-07,113.0,The Princess Diaries 2: Royal Engagement,2004-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,,,175954220.59289232,,
206,Kevin Munroe,Kevin Munroe,Peter Laird,Patrick Stewart,Mako,Chris Evans,Chris Evans,Sarah Michelle Gellar,Mako,Kevin Smith,,Kevin Munroe,95608995.0,6.3,41.0,56243,,0,0,2,0,2007-03-22,87.0,TMNT,2007-01-01,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,113743540.1335809,,
207,John Ford,James Warner Bellah,Willis Goldbeck,James Stewart,John Wayne,Vera Miles,John Wayne,James Stewart,Vera Miles,Lee Marvin,,John Ford,7891143.0,8.1,94.0,58556,,1,0,2,4,1962-04-13,123.0,The Man Who Shot Liberty Valance,1962-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1960,,,64347119.09642975,,
208,Clyde Bruckman,Buster Keaton,Buster Keaton,Clyde Bruckman,Buster Keaton,Marion Mack,Glen Cavender,Buster Keaton,Marion Mack,Glen Cavender,,Buster Keaton Clyde Bruckman,,8.2,nan,61385,,0,0,1,2,1926-12-31,67.0,The General,1926-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,,,,,
209,Michael Haneke,Michael Haneke,Daniel Auteuil,Juliette Binoche,Maurice Bénichou,Daniel Auteuil,Juliette Binoche,Maurice Bénichou,Annie Girardot,Bernard Le Coq,,Michael Haneke,3634407.0,7.3,83.0,60120,,0,0,34,26,2005-05-14,117.0,Cach�,2005-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,4590546.823793379,,
210,Kevin Macdonald,Jeremy Brock,Rosemary Sutcliff,Channing Tatum,Jamie Bell,Donald Sutherland,Channing Tatum,István Göz,Bence Gerö,Denis O'Hare,,Kevin Macdonald,27122040.0,6.2,55.0,58031,,0,0,1,0,2011-02-09,114.0,The Eagle,2011-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,29742114.64774667,,
211,John Badham,Nik Cohn,Norman Wexler,John Travolta,Karen Lynn Gorney,Barry Miller,John Travolta,Karen Lynn Gorney,Barry Miller,Joseph Cali,,John Badham,237113184.0,6.8,77.0,59557,,1,0,11,4,1977-12-12,118.0,Saturday Night Fever,1977-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,,,965023599.4056826,,
212,Chan-wook Park,Seo-kyeong Jeong,Chan-wook Park,Yeong-ae Lee,Min-sik Choi,Shi-hoo Kim,Yeong-ae Lee,Min-sik Choi,Shi-hoo Kim,Yea-young Kwon,,Chan-wook Park,211667.0,7.6,75.0,59813,,0,0,12,12,2005-07-29,115.0,Chinjeolhan geumjassi,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,267352.3561207848,,
213,Ivan Reitman,Kevin Wade,Chris Conrad,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Frank Langella,,Ivan Reitman,108431355.0,4.6,nan,57732,,1,0,4,0,1994-11-23,109.0,Junior,1994-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,180446307.34690508,,
214,John Landis,Steve Martin,Lorne Michaels,Steve Martin,Chevy Chase,Martin Short,Steve Martin,Chevy Chase,Martin Short,Alfonso Arau,,John Landis,39246734.0,6.4,52.0,58362,,0,0,0,0,1986-12-10,104.0,�Three Amigos!,1986-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,,,88323144.21339715,,
215,RZA,RZA,RZA,Russell Crowe,Cung Le,Lucy Liu,RZA,Rick Yune,Russell Crowe,Lucy Liu,,RZA,19721245.0,5.4,51.0,56333,,0,0,4,0,2012-10-25,95.0,The Man with the Iron Fists,2012-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,21188006.68114465,,
216,John Dahl,Clay Tarver,J.J. Abrams,Steve Zahn,Paul Walker,Leelee Sobieski,Steve Zahn,Paul Walker,Leelee Sobieski,Jessica Bowman,,John Dahl,37000000.0,6.6,75.0,57184,,0,0,3,0,2001-09-09,97.0,Joy Ride,2001-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,51544162.26439305,,
217,Hiromasa Yonebayashi,Mary Norton,Hayao Miyazaki,Bridgit Mendler,Amy Poehler,Will Arnett,Moises Arias,Bridgit Mendler,David Henrie,Will Arnett,,Hiromasa Yonebayashi,145570827.0,7.6,80.0,61269,,0,0,6,11,2010-07-17,94.0,Kari-gurashi no Arietti,2010-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,,,164672802.68217495,,
218,Robert Redford,Paul Attanasio,Richard N. Goodwin,Ralph Fiennes,John Turturro,Rob Morrow,John Turturro,Rob Morrow,Ralph Fiennes,Paul Scofield,,Robert Redford,24822619.0,7.5,88.0,57805,,4,0,26,6,1994-09-23,133.0,Quiz Show,1994-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,41308622.74320122,,
219,Kevin Smith,Kevin Smith,Michael Parks,Melissa Leo,John Goodman,Michael Angarano,Deborah Aquila,Nicholas Braun,Ronnie Connell,Kaylee DeFer,,Kevin Smith,1104682.0,6.2,50.0,56983,,0,0,7,3,2011-01-23,88.0,Red State,2011-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,1211397.7670301383,,
220,Troy Duffy,Troy Duffy,Troy Duffy,Sean Patrick Flanery,Norman Reedus,Billy Connolly,Sean Patrick Flanery,Norman Reedus,Billy Connolly,Clifton Collins Jr.,,Troy Duffy,10269307.0,6.3,24.0,56298,,0,0,0,0,2009-10-19,118.0,The Boondock Saints II: All Saints Day,2009-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,11807379.092571443,,
221,Rob Letterman,Joe Stillman,Nicholas Stoller,Jack Black,Emily Blunt,Jason Segel,Jack Black,Jason Segel,Emily Blunt,Amanda Peet,,Rob Letterman,237382724.0,4.9,33.0,57128,,0,0,3,0,2010-12-22,85.0,Gulliver's Travels,2010-01-01,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,,268532365.13803136,,
222,Kevin Bray,Mort Briskin,David Klass,Dwayne Johnson,Ashley Scott,Johnny Knoxville,Michael Bowen,Johnny Knoxville,Dwayne Johnson,Neal McDonough,,Kevin Bray,45860039.0,6.2,44.0,58003,,0,0,2,0,2004-04-02,86.0,Walking Tall,2004-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,59890143.62703964,,
223,Neil LaBute,Neil LaBute,Anthony Shaffer,Nicolas Cage,Ellen Burstyn,Leelee Sobieski,Nicolas Cage,Ellen Burstyn,Kate Beahan,Frances Conroy,,Neil LaBute,23643531.0,3.7,36.0,56920,,0,0,7,2,2006-08-31,102.0,The Wicker Man,2006-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,28930393.025214273,,
224,Rob Cohen,Leslie Bohem,Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Dan Hedaya,Jay O. Sanders,,Rob Cohen,126189000.0,5.8,nan,57589,,1,0,3,1,1996-12-05,114.0,Daylight,1996-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,198450203.6404208,,
225,Chris Nahon,Jet Li,Luc Besson,Jet Li,Bridget Fonda,Tchéky Karyo,Jet Li,Bridget Fonda,Tchéky Karyo,Max Ryan,,Chris Nahon,64437847.0,6.6,58.0,55979,,0,0,0,0,2001-06-25,98.0,Kiss of the Dragon,2001-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,89767428.15503062,,
