,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R
983,Julien Magnat,Julien Magnat,Agnès Caffin,Milla Jovovich,Julian McMahon,David Atrakchi,Milla Jovovich,Julian McMahon,David Atrakchi,Michael Shanks,15000000.0,Julien Magnat,,5.8,nan,16819,,0,0,0,0,2011-09-16,103.0,Faces in the Crowd,2011-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
984,Robert Altman,Anne Rapp,Richard Gere,Helen Hunt,Farrah Fawcett,Richard Gere,Helen Hunt,Farrah Fawcett,Laura Dern,Shelley Long,23000000.0,Robert Altman,22844291.0,4.6,64.0,16308,,0,0,3,0,2000-09-01,122.0,Dr. T & the Women,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
985,Nicholas Hytner,Stephen McCauley,Wendy Wasserstein,Jennifer Aniston,Paul Rudd,Kali Rocha,Paul Rudd,Kali Rocha,Jennifer Aniston,Lena Cardwell,15000000.0,Nicholas Hytner,29106737.0,6.0,51.0,16700,,0,0,1,1,1998-04-17,111.0,The Object of My Affection,1998-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
986,Norman Jewison,Diane Drake,Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,Joaquim de Almeida,Fisher Stevens,,Norman Jewison,20042048.0,6.5,nan,16975,,0,0,0,0,1994-09-17,115.0,Only You,1994-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
987,Jim Mallon,Michael J. Nelson,Trace Beaulieu,Trace Beaulieu,Michael J. Nelson,Jim Mallon,Trace Beaulieu,Michael J. Nelson,Jim Mallon,Kevin Murphy,,Jim Mallon,1007306.0,7.4,nan,16531,,0,0,1,0,1996-04-19,73.0,Mystery Science Theater 3000: The Movie,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
988,Tobe Hooper,Colin Wilson,Dan O'Bannon,Steve Railsback,Mathilda May,Peter Firth,Steve Railsback,Peter Firth,Frank Finlay,Mathilda May,25000000.0,Tobe Hooper,11603545.0,6.1,nan,17727,,0,0,2,1,1985-06-21,116.0,Lifeforce,1985-01-01,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
989,Brian Levant,William Hanna,Joseph Barbera,Mark Addy,Stephen Baldwin,Kristen Johnston,Mark Addy,Stephen Baldwin,Kristen Johnston,Jane Krakowski,83000000.0,Brian Levant,59468275.0,3.6,27.0,17189,,0,0,9,1,2000-04-15,90.0,The Flintstones in Viva Rock Vegas,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
990,Kurt Neumann,James Clavell,George Langelaan,David Hedison,Patricia Owens,Vincent Price,David Hedison,Patricia Owens,Vincent Price,Herbert Marshall,700000.0,Kurt Neumann,3000000.0,7.1,nan,17416,,0,0,1,0,1958-07-16,94.0,The Fly,1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
991,Michel Gondry,Charlie Kaufman,Tim Robbins,Patricia Arquette,Rhys Ifans,Patricia Arquette,Rhys Ifans,Tim Robbins,Ken Magee,Sy Richardson,,Michel Gondry,695876.0,6.4,56.0,16206,,0,0,2,2,2001-05-18,96.0,Human Nature,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
992,Kasper Barfoed,F. Scott Frazier,John Cusack,Malin Akerman,Liam Cunningham,John Cusack,Malin Akerman,Liam Cunningham,Richard Brake,Bryan Dick,,Kasper Barfoed,,5.6,39.0,17334,,0,0,1,0,2013-03-21,89.0,The Numbers Station,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
993,Peter Weir,David Williamson,Peter Weir,Mel Gibson,Sigourney Weaver,Linda Hunt,Linda Hunt,Mel Gibson,Bembol Roco,Domingo Landicho,13000000.0,Peter Weir,10278575.0,7.2,65.0,16867,,0,1,16,7,1982-12-17,115.0,The Year of Living Dangerously,1982-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
994,Jacques Audiard,Jacques Audiard,Tonino Benacquista,Romain Duris,Aure Atika,Emmanuelle Devos,Romain Duris,Niels Arestrup,Jonathan Zaccaï,Gilles Cohen,4051058.62569747,Jacques Audiard,1023424.0,7.3,75.0,16801,1179031.0,0,0,13,20,2005-02-17,108.0,De battre mon coeur s'est arr�t�,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
995,Matthew Chapman,Matthew Chapman,Charlie Hunnam,Terrence Howard,Patrick Wilson,Charlie Hunnam,Terrence Howard,Liv Tyler,Patrick Wilson,Jaqueline Fleming,10000000.0,Matthew Chapman,5176.0,6.6,34.0,16883,,0,0,1,0,2011-01-21,101.0,The Ledge,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
996,Don Roos,Don Roos,Ayelet Waldman,Natalie Portman,Scott Cohen,Lisa Kudrow,Natalie Portman,Scott Cohen,Lisa Kudrow,Charlie Tahan,,Don Roos,20585.0,6.4,37.0,16706,,0,0,0,0,2009-09-16,102.0,Love and Other Impossible Pursuits,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
