,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1794,Ewan McGregor,Philip Roth,John Romano,Ewan McGregor,Jennifer Connelly,Dakota Fanning,Ewan McGregor,Jennifer Connelly,Dakota Fanning,Peter Riegert,,Ewan McGregor,541457.0,6.1,43.0,10349,,0,0,2,1,2016-09-09,108.0,American Pastoral,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,556476.4584098079,,
1795,Chris Kelly,Chris Kelly,Jesse Plemons,Molly Shannon,Bradley Whitford,Jesse Plemons,Molly Shannon,Bradley Whitford,Maude Apatow,Madisen Beaty,,Chris Kelly,93000.0,6.7,68.0,6445,,0,0,10,3,2016-01-21,97.0,Other People,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,,,95579.72402630704,,
1796,Jeff Renfroe,Marteinn Thorsson,Jeff Renfroe,Marteinn Thorsson,Richard Rees,Jeremy Sisto,Udo Kier,Richard Rees,Jeremy Sisto,Udo Kier,,Marteinn Thorsson Jeff Renfroe,,6.1,nan,5127,,0,0,6,6,2004-01-01,92.0,One Point O,2004-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,,,
1798,Michael Schultz,Joel Schumacher,Richard Pryor,Franklyn Ajaye,Darrow Igus,Darrow Igus,Otis Day,James Spinks,Antonio Fargas,The Pointer Sisters,,Michael Schultz,,6.0,nan,5273,,0,0,1,3,1976-10-15,97.0,Car Wash,1976-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1970,,,,,
1799,Francis Glebas,Brian Hohlfeld,A.A. Milne,John Fiedler,Jim Cummings,Ken Sansom,John Fiedler,Jim Cummings,Andre Stojka,Kath Soucie,,Francis Glebas,62870546.0,6.0,62.0,5382,,0,0,1,0,2003-03-16,75.0,Piglet's Big Movie,2003-01-01,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,,,84302865.94292599,,
1800,Ann Turner,Ann Turner,Susan Sarandon,Sam Neill,Emily Blunt,Susan Sarandon,Sam Neill,Emily Blunt,Charles 'Bud' Tingwell,William McInnes,,Ann Turner,,5.8,nan,5137,,0,0,1,0,2006-04-18,103.0,Irresistible,2006-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,,,
1801,Anthony Mann,Borden Chase,James Stewart,Ruth Roman,Corinne Calvet,James Stewart,Ruth Roman,Corinne Calvet,Walter Brennan,John McIntire,,Anthony Mann,2500000.0,7.2,nan,5464,,0,0,0,0,1954-07-22,97.0,The Far Country,1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1950,,,22967318.435754187,,
1802,David Hogan,Keenen Ivory Wayans,Keenen Ivory Wayans,Jon Voight,Robert Kotecki,Keenen Ivory Wayans,Robert Kotecki,Rick Cramer,Kenn Whitaker,Wolfgang Bodison,25000000.0,David Hogan,6320276.0,5.5,nan,5138,,0,0,1,1,1997-10-10,99.0,Most Wanted,1997-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-18679724.0,38417973.203526534,9712487.760275675,,-28705485.443250857
1803,Kartal Tibet,Rifat Ilgaz,Sadik Sendil,Münir Özkul,Adile Nasit,Sener Sen,Münir Özkul,Adile Nasit,Sener Sen,Perran Kutman,,Kartal Tibet,,7.5,nan,5760,,0,0,0,0,1978-11-01,88.0,Hababam Sinifi Dokuz Doguruyor,1978-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1970,,,,,
1804,Debbie Isitt,Debbie Isitt,Martin Freeman,Marc Wootton,Jason Watkins,Martin Freeman,Marc Wootton,Jason Watkins,Ashley Jensen,Pam Ferris,,Debbie Isitt,,6.5,nan,5497,481577.54334909667,0,0,0,0,2009-11-27,105.0,Nativity!,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,,553705.1932318356,
