,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Comedy,Genre:  Music,Genre: Fantasy,Genre:  Western,Genre: Action,Genre: Drama,Genre:  Fantasy,Genre: Musical,Genre:  Comedy,Genre: Mystery,Genre:  Horror,Genre:  Film-Noir,Genre:  Adventure,Genre: Horror,Genre:  Crime,Genre:  Musical,Genre: Romance,Genre:  Sport,Genre: Western,Genre:  Mystery,Genre: Biography,Genre:  Family,Genre:  Drama,Genre:  Thriller,Genre: Animation,Genre:  Action,Genre:  History,Genre:  Romance,Genre:  Sci-Fi,Genre: Film-Noir,Genre: Crime,Genre:  Biography,Genre:  War,Genre: Sci-Fi,Genre: Adventure,Genre: Family,Content Rating: PG-13,Content Rating: APPROVED,Content Rating: PASSED,Content Rating: R,Content Rating: NR,Content Rating: G,Content Rating: UNRATED,Content Rating: GP,Content Rating: NOT RATED,Content Rating: NC-17,Content Rating: PG,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1636,Beeban Kidron,Helen Fielding,Andrew Davies,Renée Zellweger,Colin Firth,Hugh Grant,Renée Zellweger,Gemma Jones,Jim Broadbent,James Faulkner,40000000.0,Beeban Kidron,262520724.0,5.9,44.0,88028,3608816.0,0,0,7,0,2004-10-28,108.0,Bridget Jones: The Edge of Reason,2004-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,222520724.0,52237324.63641354,342834507.084358,4712872.3236270845,290597182.44794446
1637,Garry Marshall,Josann McGibbon,Sara Parriott,Julia Roberts,Richard Gere,Joan Cusack,Julia Roberts,Richard Gere,Joan Cusack,Hector Elizondo,70000000.0,Garry Marshall,309457509.0,5.5,39.0,81344,,0,0,9,6,1999-07-25,116.0,Runaway Bride,1999-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,239457509.0,103657991.89554256,458253485.14195406,,354595493.24641156
1638,Guy Hamilton,Richard Maibaum,Tom Mankiewicz,Sean Connery,Jill St. John,Charles Gray,Sean Connery,Jill St. John,Charles Gray,Lana Wood,7200000.0,Guy Hamilton,116000000.0,6.7,59.0,80951,,1,0,3,2,1971-12-14,120.0,Diamonds Are Forever,1971-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1970,108800000.0,43861291.620180175,706654142.7695695,,662792851.1493894
1639,Stephen Herek,Dodie Smith,John Hughes,Glenn Close,Jeff Daniels,Joely Richardson,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright,75000000.0,Stephen Herek,320689294.0,5.7,49.0,84114,,0,0,9,3,1996-11-18,103.0,101 Dalmatians,1996-01-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1990,245689294.0,117948198.91616194,504329661.85327387,,386381462.9371119
1640,John Hughes,John Hughes,Molly Ringwald,Anthony Michael Hall,Justin Henry,Molly Ringwald,Justin Henry,Michael Schoeffling,Haviland Morris,Gedde Watanabe,6500000.0,John Hughes,23686027.0,7.1,61.0,84327,,0,0,1,2,1984-05-04,93.0,Sixteen Candles,1984-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,17186027.0,15434126.428825324,56242020.81762619,,40807894.38880087
1641,Frank Coraci,Allan Loeb,Kevin James,Kevin James,Salma Hayek,Henry Winkler,Kevin James,Salma Hayek,Henry Winkler,Greg Germann,42000000.0,Frank Coraci,73239258.0,6.4,40.0,78701,,0,0,3,0,2012-10-10,105.0,Here Comes the Boom,2012-01-01,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,31239258.0,45123737.4013697,78686405.84436108,,33562668.442991376
1642,Akira Kurosawa,Akira Kurosawa,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Toshirô Mifune,Tatsuya Nakadai,Yôko Tsukasa,Isuzu Yamada,,Akira Kurosawa,,8.3,nan,84305,,1,0,1,4,1961-04-25,110.0,Y?jinb?,1961-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1960,,,,,
1643,Guy Ritchie,Luc Besson,Guy Ritchie,Jason Statham,Ray Liotta,André Benjamin,Jason Statham,Ray Liotta,Vincent Pastore,André Benjamin,,Guy Ritchie,75420.0,6.5,25.0,80111,,0,0,0,1,2005-09-11,111.0,Revolver,2005-01-01,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,95261.49422739298,,
1644,Alan J. Pakula,Carl Bernstein,Bob Woodward,Dustin Hoffman,Robert Redford,Jack Warden,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,8500000.0,Alan J. Pakula,70600000.0,8.0,80.0,83375,,0,4,21,13,1976-04-04,138.0,All the President's Men,1976-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,62100000.0,36843224.48597705,306015488.083527,,269172263.59755
1645,John Glen,Michael G. Wilson,Richard Maibaum,Timothy Dalton,Robert Davi,Carey Lowell,Timothy Dalton,Carey Lowell,Robert Davi,Talisa Soto,32000000.0,John Glen,156200000.0,6.6,58.0,80429,189757.8356977895,0,0,1,0,1989-06-13,133.0,Licence to Kill,1989-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1980,124200000.0,63673632.67984037,310806919.5184708,377580.3352607046,247133286.83863044
1646,Wolfgang Petersen,Jeff Maguire,Clint Eastwood,John Malkovich,Rene Russo,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,Gary Cole,40000000.0,Wolfgang Petersen,85000000.0,7.2,74.0,79806,,3,0,13,2,1993-07-08,128.0,In the Line of Fire,1993-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,45000000.0,68301770.9993197,145141263.37355435,,76839492.37423466
