,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Comedy,Genre:  Music,Genre: Fantasy,Genre:  Western,Genre: Action,Genre: Drama,Genre:  Fantasy,Genre: Musical,Genre:  Comedy,Genre: Mystery,Genre:  Horror,Genre:  Film-Noir,Genre:  Adventure,Genre: Horror,Genre:  Crime,Genre:  Musical,Genre: Romance,Genre:  Sport,Genre: Western,Genre:  Mystery,Genre: Biography,Genre:  Family,Genre:  Drama,Genre:  Thriller,Genre: Animation,Genre:  Action,Genre:  History,Genre:  Romance,Genre:  Sci-Fi,Genre: Film-Noir,Genre: Crime,Genre:  Biography,Genre:  War,Genre: Sci-Fi,Genre: Adventure,Genre: Family,Content Rating: PG-13,Content Rating: APPROVED,Content Rating: PASSED,Content Rating: R,Content Rating: NR,Content Rating: G,Content Rating: UNRATED,Content Rating: GP,Content Rating: NOT RATED,Content Rating: NC-17,Content Rating: PG,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
432,Robert Zemeckis,James V. Hart,Michael Goldenberg,Jodie Foster,Matthew McConaughey,Tom Skerritt,Jena Malone,David Morse,Jodie Foster,Geoffrey Blake,90000000.0,Robert Zemeckis,171120329.0,7.4,62.0,221653,,1,0,26,14,1997-07-11,150.0,Contact,1997-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,81120329.0,138304703.53269553,262963848.56402582,,124659145.03133027
433,Sam Mendes,Max Allan Collins,Richard Piers Rayner,Tom Hanks,Tyler Hoechlin,Rob Maxey,Tyler Hoechlin,Rob Maxey,Liam Aiken,Jennifer Jason Leigh,80000000.0,Sam Mendes,181001478.0,7.7,72.0,216788,,0,1,79,22,2002-07-12,117.0,Road to Perdition,2002-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,101001478.0,109706851.98054205,248213779.44006675,,138506927.4595247
434,Chris Columbus,John Hughes,John Hughes,Macaulay Culkin,Joe Pesci,Daniel Stern,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,18000000.0,Chris Columbus,358991681.0,6.6,nan,236399,,0,0,3,3,1992-11-15,120.0,Home Alone 2: Lost in New York,1992-01-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1990,340991681.0,31643012.22671505,631087675.0651106,,599444662.8383955
435,Mike Judge,Mike Judge,Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu,10000000.0,Mike Judge,12800000.0,7.8,68.0,215414,,0,0,2,0,1999-02-19,89.0,Office Space,1999-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,2800000.0,14808284.556506079,18954604.23232778,,4146319.675821702
436,J.B. Rogers,Adam Herz,David H. Steinberg,Jason Biggs,Seann William Scott,Shannon Elizabeth,Jason Biggs,Shannon Elizabeth,Alyson Hannigan,Chris Klein,30000000.0,J.B. Rogers,287553595.0,6.4,43.0,214176,,0,0,6,8,2001-08-06,108.0,American Pie 2,2001-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,257553595.0,41792563.998156525,400586734.06458277,,358794170.0664262
437,George Nolfi,George Nolfi,Philip K. Dick,Matt Damon,Emily Blunt,Lisa Thoreson,Matt Damon,Emily Blunt,Lisa Thoreson,Florence Kastriner,50200000.0,George Nolfi,127869379.0,7.1,60.0,215395,,0,0,9,1,2011-02-14,106.0,The Adjustment Bureau,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,77669379.0,55049478.40637662,140221964.50393006,,85172486.09755343
438,Darren Aronofsky,Darren Aronofsky,Ari Handel,Russell Crowe,Jennifer Connelly,Anthony Hopkins,Russell Crowe,Jennifer Connelly,Ray Winstone,Anthony Hopkins,125000000.0,Darren Aronofsky,362637473.0,5.8,68.0,217067,,0,0,18,1,2014-03-10,138.0,Noah,2014-01-01,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,237637473.0,130244674.60890082,377852797.3750324,,247608122.76613164
439,Tim Burton,Seth Grahame-Smith,John August,Johnny Depp,Michelle Pfeiffer,Eva Green,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,150000000.0,Tim Burton,245527149.0,6.2,55.0,216853,,0,0,13,2,2012-05-09,113.0,Dark Shadows,2012-01-01,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,95527149.0,161156205.00489178,263788157.05673742,,102631952.05184563
440,Clint Eastwood,J. Michael Straczynski,Angelina Jolie,Colm Feore,Amy Ryan,Angelina Jolie,Gattlin Griffith,Michelle Gunn,Michael Kelly,Jan Devereaux,55000000.0,Clint Eastwood,113020256.0,7.8,63.0,212497,,3,0,47,13,2008-05-20,141.0,Changeling,2008-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,58020256.0,63014446.360700786,129489251.98881221,,66474805.62811142
441,Martin Campbell,Ian Fleming,Michael France,Pierce Brosnan,Sean Bean,Izabella Scorupco,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,60000000.0,Martin Campbell,352194034.0,7.2,65.0,212305,,0,0,6,2,1995-11-13,130.0,GoldenEye,1995-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1990,292194034.0,97124401.20247717,570110577.6555815,,472986176.45310426
442,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,Michelle Rodriguez,Ryan McCluskey,Ryan McCluskey,Oscar Pearce,Indra Ové,Anna Bolt,Joseph May,33000000.0,Paul W.S. Anderson,62321149.0,6.7,33.0,219309,,0,0,6,0,2002-03-12,100.0,Resident Evil,2002-01-01,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,29321149.0,45254076.44197359,85463213.35750382,,40209136.915530235
443,Woody Allen,Woody Allen,Rebecca Hall,Scarlett Johansson,Javier Bardem,Rebecca Hall,Scarlett Johansson,Chris Messina,Patricia Clarkson,Kevin Dunn,15500000.0,Woody Allen,104504817.0,7.1,70.0,216115,,0,1,53,31,2008-05-17,96.0,Vicky Cristina Barcelona,2008-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,89004817.0,17758616.701652043,119732967.0051155,,101974350.30346346
444,Ted Demme,Bruce Porter,David McKenna,Johnny Depp,Penélope Cruz,Franka Potente,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,53000000.0,Ted Demme,83282296.0,7.6,52.0,213763,,0,0,9,3,2001-03-29,124.0,Blow,2001-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,30282296.0,73833529.73007652,116019356.18311384,,42185826.453037314
445,Denis Villeneuve,Taylor Sheridan,Emily Blunt,Josh Brolin,Benicio Del Toro,Emily Blunt,Benicio Del Toro,Josh Brolin,Victor Garber,Jon Bernthal,30000000.0,Denis Villeneuve,84872444.0,7.6,82.0,272434,,3,0,150,15,2015-05-19,121.0,Sicario,2015-01-01,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,54872444.0,31221684.520519625,88328689.03511563,,57107004.51459601
446,Troy Duffy,Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,Billy Connolly,7000000.0,Troy Duffy,25812.0,7.9,44.0,208682,,0,0,0,0,1999-08-04,108.0,The Boondock Saints,1999-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,-6974188.0,10365799.189554255,38223.14409725349,,-10327576.045457002
447,Zack Snyder,Zack Snyder,Steve Shibuya,Emily Browning,Vanessa Hudgens,Abbie Cornish,Emily Browning,Abbie Cornish,Jena Malone,Vanessa Hudgens,82000000.0,Zack Snyder,89792502.0,6.1,33.0,210123,,0,0,10,1,2011-03-21,110.0,Sucker Punch,2011-01-01,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,7792502.0,89921458.75145185,98466741.03393486,,8545282.282483
448,Steven Spielberg,Tony Kushner,Doris Kearns Goodwin,Daniel Day-Lewis,Sally Field,David Strathairn,Daniel Day-Lewis,Sally Field,David Strathairn,Joseph Gordon-Levitt,65000000.0,Steven Spielberg,275293450.0,7.4,86.0,214763,,0,2,242,108,2012-10-08,150.0,Lincoln,2012-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,210293450.0,69834355.50211978,295768317.76469284,,225933962.2625731
449,Mark Neveldine,Brian Taylor,Mark Neveldine,Brian Taylor,Jason Statham,Amy Smart,Carlos Sanz,Jason Statham,Amy Smart,Jose Pablo Cantillo,12000000.0,Brian Taylor Mark Neveldine,27829874.0,7.0,57.0,211155,,0,0,2,2,2006-08-31,88.0,Crank,2006-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,15829874.0,14683285.516980153,34052832.15363188,,19369546.636651725
450,Stephen Sommers,Stephen Sommers,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,David Wenham,Shuler Hensley,160000000.0,Stephen Sommers,300257475.0,6.1,35.0,215183,,0,0,20,3,2004-05-03,131.0,Van Helsing,2004-01-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,140257475.0,208949298.54565415,392116179.9021206,,183166881.3564664
451,David Wain,Timothy Dowling,W. Blake Herron,Paul Rudd,Seann William Scott,Elizabeth Banks,Seann William Scott,Paul Rudd,Christopher Mintz-Plasse,Bobb'e J. Thompson,28000000.0,David Wain,92380927.0,6.9,61.0,203688,,0,0,4,1,2008-10-22,99.0,Role Models,2008-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,64380927.0,32080081.783629492,105842417.62169665,,73762335.83806714
452,D.J. Caruso,Alfred Gough,Miles Millar,Alex Pettyfer,Timothy Olyphant,Dianna Agron,Alex Pettyfer,Timothy Olyphant,Teresa Palmer,Dianna Agron,60000000.0,D.J. Caruso,149878437.0,6.1,36.0,207955,,0,0,1,1,2011-02-17,109.0,I Am Number Four,2011-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,89878437.0,65796189.33033062,164357166.95643386,,98560977.62610322
453,Martin Brest,Giovanni Arpino,Bo Goldman,Al Pacino,Chris O'Donnell,James Rebhorn,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar,31000000.0,Martin Brest,134895607.0,8.0,59.0,214287,,0,1,14,5,1992-12-23,156.0,Scent of a Woman,1992-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,103895607.0,54496298.834898144,237139074.5350638,,182642775.70016566
454,Guy Ritchie,Guy Ritchie,Gerard Butler,Tom Wilkinson,Idris Elba,Gerard Butler,Tom Wilkinson,Thandie Newton,Mark Strong,Idris Elba,18000000.0,Guy Ritchie,25739015.0,7.3,53.0,209947,884978.8003844197,0,0,5,1,2008-09-04,114.0,RocknRolla,2008-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,7739015.0,20622909.71804753,29489632.365359508,1013935.439039661,8866722.64731198
455,Zack Snyder,George A. Romero,James Gunn,Sarah Polley,Ving Rhames,Mekhi Phifer,Sarah Polley,Ving Rhames,Jake Weber,Mekhi Phifer,26000000.0,Zack Snyder,43335424.0,7.3,59.0,209103,,0,0,17,1,2004-03-10,101.0,Dawn of the Dead,2004-01-01,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,17335424.0,33954261.0136688,56593165.29361566,,22638904.279946864
456,Carlos Saldanha,Peter Gaulke,Gerry Swallow,Ray Romano,John Leguizamo,Denis Leary,Ray Romano,John Leguizamo,Denis Leary,Seann William Scott,80000000.0,Carlos Saldanha,660940780.0,6.8,58.0,216095,,0,0,16,7,2006-03-29,91.0,Ice Age: The Meltdown,2006-01-01,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2000,580940780.0,97888570.11320102,808731848.5462972,,710843278.4330962
457,David Twohy,Jim Wheat,Ken Wheat,Radha Mitchell,Cole Hauser,Vin Diesel,Vin Diesel,Radha Mitchell,Cole Hauser,Keith David,23000000.0,David Twohy,53187659.0,7.1,49.0,205591,,0,0,4,2,2000-02-18,109.0,Pitch Black,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,30187659.0,32946498.257839724,76189004.98182927,,43242506.723989554
458,M. Night Shyamalan,M. Night Shyamalan,Sigourney Weaver,William Hurt,Joaquin Phoenix,Bryce Dallas Howard,Joaquin Phoenix,Adrien Brody,William Hurt,Sigourney Weaver,60000000.0,M. Night Shyamalan,256697520.0,6.5,44.0,212327,,1,0,21,4,2004-07-26,108.0,The Village,2004-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,196697520.0,78355986.9546203,335229792.14005643,,256873805.18543616
459,Joe Wright,Jane Austen,Deborah Moggach,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Keira Knightley,Talulah Riley,Rosamund Pike,Jena Malone,28000000.0,Joe Wright,121147947.0,7.8,82.0,213471,1449411.057003724,4,0,54,13,2005-07-25,129.0,Pride & Prejudice,2005-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,93147947.0,35366240.232922345,153019549.90454802,1830722.1299374145,117653309.67162564
460,Ben Affleck,Ben Affleck,Aaron Stockard,Morgan Freeman,Ed Harris,Casey Affleck,Casey Affleck,Michelle Monaghan,Morgan Freeman,Ed Harris,19000000.0,Ben Affleck,20300218.0,7.7,72.0,217679,,1,0,29,34,2007-09-05,114.0,Gone Baby Gone,2007-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,1300218.0,22603806.917309787,24150642.52901561,,1546835.6117058261
461,Woody Allen,Woody Allen,Marshall Brickman,Woody Allen,Diane Keaton,Tony Roberts,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,4000000.0,Woody Allen,39200000.0,8.1,92.0,219007,,0,4,8,26,1977-03-27,93.0,Annie Hall,1977-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,35200000.0,16279543.51801345,159539526.4765318,,143259982.95851836
462,Joe Wright,Ian McEwan,Christopher Hampton,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,Ailidh Mackay,Brenda Blethyn,Julia West,30000000.0,Joe Wright,129266061.0,7.8,85.0,211829,814385.7463244456,0,1,146,50,2007-08-28,123.0,Atonement,2007-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,99266061.0,35690221.448383875,153784478.09500995,968853.5876908946,118094256.64662607
463,David Lean,T.E. Lawrence,Robert Bolt,Peter O'Toole,Alec Guinness,Anthony Quinn,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,15000000.0,David Lean,77324144.0,8.3,100.0,217578,,0,7,14,23,1962-12-10,216.0,Lawrence of Arabia,1962-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1960,62324144.0,122315206.61157025,630527909.9615208,,508212703.34995043
464,Greg Mottola,Simon Pegg,Nick Frost,Simon Pegg,Nick Frost,Seth Rogen,Mia Stallard,Simon Pegg,Nick Frost,Jeremy Owen,40000000.0,Greg Mottola,101162106.0,7.0,57.0,207990,3443250.9517568494,0,0,9,2,2011-02-14,104.0,Paul,2011-01-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2010,61162106.0,43864126.22022042,110934684.65718293,3775879.8588939128,67070558.436962515
465,John Singleton,Gary Scott Thompson,Michael Brandt,Paul Walker,Tyrese Gibson,Cole Hauser,Paul Walker,Tyrese Gibson,Eva Mendes,Cole Hauser,76000000.0,John Singleton,107376377.0,5.9,38.0,215059,,0,0,13,4,2003-06-03,107.0,2 Fast 2 Furious,2003-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,31376377.0,101908098.77271266,143980558.33121097,,42072459.55849829
466,Jason Reitman,Jason Reitman,Christopher Buckley,Aaron Eckhart,Cameron Bright,Maria Bello,Joan Lunden,Eric Haberman,Aaron Eckhart,Mary Jo Smith,6500000.0,Jason Reitman,39323027.0,7.6,71.0,200120,,0,0,30,12,2005-09-09,92.0,Thank You for Smoking,2005-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,32823027.0,8210020.054071259,49668129.2702747,,41458109.21620344
467,Stephen Norrington,David S. Goyer,Wesley Snipes,Stephen Dorff,Kris Kristofferson,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,45000000.0,Stephen Norrington,131183530.0,7.1,45.0,210316,,0,0,8,4,1998-08-19,120.0,Blade,1998-01-01,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,86183530.0,68095322.33895922,198510772.4647228,,130415450.1257636
468,Robert Luketic,Peter Steinfeld,Allan Loeb,Jim Sturgess,Kate Bosworth,Kevin Spacey,Jim Sturgess,Kevin Spacey,Kate Bosworth,Aaron Yoo,35000000.0,Robert Luketic,157927340.0,6.8,48.0,204171,,0,0,5,1,2008-03-07,123.0,21,2008-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,122927340.0,40100102.22953687,180940070.82396647,,140839968.5944296
469,Darren Aronofsky,Darren Aronofsky,Darren Aronofsky,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,Hugh Jackman,Rachel Weisz,Ellen Burstyn,Mark Margolis,35000000.0,Darren Aronofsky,15978422.0,7.3,51.0,206570,,0,0,34,9,2006-09-04,96.0,The Fountain,2006-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,-19021578.0,42826249.42452545,19551311.028066423,,-23274938.396459024
470,Joel Schumacher,Bob Kane,Lee Batchler,Val Kilmer,Tommy Lee Jones,Jim Carrey,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,100000000.0,Joel Schumacher,152500000.0,5.4,51.0,207395,,3,0,22,10,1995-06-09,121.0,Batman Forever,1995-01-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1990,52500000.0,161874002.0041286,246857853.05629614,,84983851.05216752
471,Richard Donner,Shane Black,Mel Gibson,Danny Glover,Gary Busey,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,Tom Atkins,15000000.0,Richard Donner,120207127.0,7.6,67.0,207798,,1,0,1,5,1987-03-06,110.0,Lethal Weapon,1987-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,105207127.0,32563564.356435645,260958167.74444887,,228394603.3880132
472,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore,Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore,Tony Danza,Glenne Headly,3000000.0,Joseph Gordon-Levitt,30450756.0,6.6,66.0,206182,,0,0,27,2,2013-01-18,90.0,Don Jon,2013-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,27450756.0,3176580.8084359714,32243095.703988835,,29066514.895552862
473,James Cameron,Claude Zidi,Simon Michaël,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,115000000.0,James Cameron,378882411.0,7.2,63.0,206411,,1,0,19,7,1994-07-12,141.0,True Lies,1994-01-01,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,263882411.0,191377534.15415755,630518100.4483657,,439140566.29420817
474,Tom Tykwer,Andrew Birkin,Bernd Eichinger,Ben Whishaw,Dustin Hoffman,Alan Rickman,Ben Whishaw,Francesc Albiol,Gonzalo Cunill,Roger Salvany,39194167.907815315,Tom Tykwer,135039943.0,7.5,56.0,206433,,0,0,18,15,2006-09-07,147.0,Perfume: The Story of a Murderer,2006-01-01,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,95845775.0921847,47958263.16590942,165235836.60547712,,117277573.43956771
475,Danny Boyle,Alex Garland,Cillian Murphy,Rose Byrne,Chris Evans,Cliff Curtis,Chipo Chung,Cillian Murphy,Michelle Yeoh,Hiroyuki Sanada,13243683.781581093,Danny Boyle,32017803.0,7.3,64.0,207376,520101.3651181744,0,0,18,1,2007-03-23,107.0,Sunshine,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2000,18774119.218418907,15755666.898566639,38090749.31202432,618751.0965558133,22335082.41345768
476,Michel Hazanavicius,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,Penelope Ann Miller,15000000.0,Michel Hazanavicius,133432856.0,7.9,89.0,206007,,0,5,188,145,2011-05-15,100.0,The Artist,2011-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,118432856.0,16449047.332582654,146322890.93771237,,129873843.60512972
477,Joel Schumacher,Bob Kane,Akiva Goldsman,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman,125000000.0,Joel Schumacher,238207122.0,3.7,28.0,205406,,0,0,21,10,1997-06-12,125.0,Batman & Robin,1997-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1990,113207122.0,192089866.01763266,366057393.19540703,,173967527.17777437
