,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Film-Noir,Genre:  Comedy,Genre: Fantasy,Genre: War,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Animation,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: X,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: TV-13,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1680,Rupert Wyatt,Rick Jaffa,Amanda Silver,James Franco,Andy Serkis,Freida Pinto,Andy Serkis,Karin Konoval,Terry Notary,Richard Ridings,,Rupert Wyatt,482860185.0,7.6,68.0,448591,,1,0,42,21,2011-08-03,105.0,Rise of the Planet of the Apes,2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,,,529506002.53897446,,
1681,Barry Sonnenfeld,Lowell Cunningham,Ed Solomon,Tommy Lee Jones,Will Smith,Linda Fiorentino,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,,Barry Sonnenfeld,589390539.0,7.3,71.0,445270,,0,1,39,19,1997-07-02,98.0,Men in Black,1997-01-01,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,,,905727597.3485625,,
1682,Steven Soderbergh,George Clayton Johnson,Jack Golden Russell,George Clooney,Brad Pitt,Julia Roberts,George Clooney,Cecelia Ann Birt,Paul L. Nolan,Carol Florence,,Steven Soderbergh,450717150.0,7.8,74.0,442028,,0,0,20,4,2001-12-05,116.0,Ocean's Eleven,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,627887511.2147238,,
1683,Damien Chazelle,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell,,Damien Chazelle,48982041.0,8.5,88.0,525390,,0,3,136,89,2014-01-16,107.0,Whiplash,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,51037199.933798715,,
1684,Edward Zwick,Charles Leavitt,Charles Leavitt,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,,Edward Zwick,171407179.0,8.0,64.0,437066,,5,0,26,8,2006-12-08,143.0,Blood Diamond,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,209735045.7430937,,
1685,Steven Spielberg,Philip K. Dick,Scott Frank,Tom Cruise,Colin Farrell,Samantha Morton,Tom Cruise,Max von Sydow,Steve Harris,Neal McDonough,,Steven Spielberg,358372926.0,7.7,80.0,438374,,1,0,85,19,2002-06-17,145.0,Minority Report,2002-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,491449569.3314469,,
1686,Matthew Vaughn,Jane Goldman,Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Adrian Quinton,Colin Firth,Mark Strong,Jonno Davies,,Matthew Vaughn,414351546.0,7.7,60.0,492738,,0,0,26,8,2014-12-13,129.0,Kingsman: The Secret Service,2014-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,431736658.25972,,
1687,Nick Cassavetes,Jeremy Leven,Jan Sardi,Gena Rowlands,James Garner,Rachel McAdams,Tim Ivey,Gena Rowlands,Starletta DuPois,James Garner,,Nick Cassavetes,116072707.0,7.9,53.0,438884,,0,0,10,12,2004-05-20,123.0,The Notebook,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,151583191.92465776,,
1688,J.J. Abrams,Roberto Orci,Alex Kurtzman,Chris Pine,Zachary Quinto,Zoe Saldana,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,,J.J. Abrams,467365246.0,7.8,72.0,428794,,1,0,56,6,2013-05-02,132.0,Star Trek: Into Darkness,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,,,494874490.3245189,,
1689,Edgar Wright,Simon Pegg,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Simon Pegg,Kate Ashfield,Nick Frost,Lucy Davis,,Edgar Wright,30039392.0,8.0,76.0,435791,,0,0,20,13,2004-03-29,99.0,Shaun of the Dead,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,39229436.794612095,,
1690,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Nicolás Giacobone,Michael Keaton,Zach Galifianakis,Edward Norton,Michael Keaton,Emma Stone,Kenny Chin,Jamahl Garrison-Lowe,,Alejandro G. I��rritu,103215094.0,7.8,88.0,468313,,0,4,275,191,2014-08-27,119.0,Birdman or ,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,107545730.6620569,,
1691,Robert Zemeckis,William Broyles Jr.,Tom Hanks,Helen Hunt,Paul Sanchez,Tom Hanks,Paul Sanchez,Lari White,Leonid Citer,David Allen Brooks,,Robert Zemeckis,429632142.0,7.8,73.0,438822,,2,0,33,15,2000-12-07,143.0,Cast Away,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,615429331.2136934,,
1692,Zack Snyder,David Hayter,Alex Tse,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,Billy Crudup,Matthew Goode,Jackie Earle Haley,,Zack Snyder,185258983.0,7.6,56.0,425474,,0,0,22,11,2009-02-23,162.0,Watchmen,2009-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,213005906.10303584,,
1693,Chris Columbus,J.K. Rowling,Steve Kloves,Daniel Radcliffe,Rupert Grint,Emma Watson,Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Griffiths,,Chris Columbus,878979634.0,7.4,63.0,443896,,0,0,42,11,2002-11-03,161.0,Harry Potter and the Chamber of Secrets,2002-01-01,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,,,1205376107.5143628,,
1694,Alex Proyas,Jeff Vintar,Akiva Goldsman,Will Smith,Bridget Moynahan,Bruce Greenwood,Will Smith,Bridget Moynahan,Alan Tudyk,James Cromwell,,Alex Proyas,144801023.0,7.1,59.0,431977,,1,0,13,1,2004-07-07,115.0,I Robot,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,189100451.15339458,,
1695,Michael Curtiz,Julius J. Epstein,Philip G. Epstein,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,,Michael Curtiz,1024560.0,8.5,100.0,433486,,0,3,9,5,1942-11-26,102.0,Casablanca,1942-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1940,,,15473093.307647573,,
1696,Joseph Kosinski,Karl Gajdusek,Michael Arndt,Tom Cruise,Morgan Freeman,Andrea Riseborough,Tom Cruise,Morgan Freeman,Olga Kurylenko,Andrea Riseborough,,Joseph Kosinski,286168572.0,7.0,54.0,425606,,0,0,14,0,2013-03-26,124.0,Oblivion,2013-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,,,303012531.2642425,,
1697,Ruben Fleischer,Rhett Reese,Paul Wernick,Jesse Eisenberg,Emma Stone,Woody Harrelson,Jesse Eisenberg,Woody Harrelson,Emma Stone,Abigail Breslin,,Ruben Fleischer,102391540.0,7.7,73.0,426359,,0,0,28,9,2009-09-25,88.0,Zombieland,2009-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,117727099.66234264,,
1698,Pierre Coffin,Chris Renaud,Cinco Paul,Ken Daurio,Steve Carell,Jason Segel,Russell Brand,Steve Carell,Jason Segel,Russell Brand,,Chris Renaud Pierre Coffin,543113985.0,7.7,72.0,430134,,0,0,40,3,2010-06-20,95.0,Despicable Me,2010-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,,,614382042.9476212,,
1699,John Lasseter,Ash Brannon,John Lasseter,Pete Docter,Tom Hanks,Tim Allen,Joan Cusack,Tom Hanks,Tim Allen,Joan Cusack,,John Lasseter Ash Brannon Lee Unkrich,485015179.0,7.9,88.0,428489,,1,0,26,20,1999-11-13,92.0,Toy Story 2,1999-01-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,718224278.4856732,,
1700,Mike Newell,Steve Kloves,J.K. Rowling,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,Timothy Spall,David Tennant,Daniel Radcliffe,,Mike Newell,896911078.0,7.7,81.0,440395,,1,0,42,13,2005-11-06,157.0,Harry Potter and the Goblet of Fire,2005-01-01,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,1132870451.861334,,
