,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Animation,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre: History,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: TV-13,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
2883,Rob Marshall,Michael Tolkin,Anthony Minghella,Daniel Day-Lewis,Marion Cotillard,Penélope Cruz,Daniel Day-Lewis,Sandro Dori,Nicole Kidman,Marion Cotillard,80000000.0,Rob Marshall,19664021.0,5.8,49.0,39420,26808.42079864881,4,0,56,8,2009-12-03,118.0,Nine,2009-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2884,Peter Hedges,Peter Hedges,Ahmet Zappa,Jennifer Garner,Joel Edgerton,CJ Adams,Jennifer Garner,Joel Edgerton,CJ Adams,Odeya Rush,25000000.0,Peter Hedges,52685425.0,6.6,47.0,40555,,0,0,8,1,2012-08-15,105.0,The Odd Life of Timothy Green,2012-01-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2885,Stephen Hopkins,Carey W. Hayes,Chad Hayes,Hilary Swank,David Morrissey,AnnaSophia Robb,Hilary Swank,David Morrissey,Idris Elba,AnnaSophia Robb,40000000.0,Stephen Hopkins,62771059.0,5.7,36.0,39314,,0,0,1,0,2007-03-29,99.0,The Reaping,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2886,Patrick Alessandrin,Luc Besson,Cyril Raffaelli,David Belle,Philippe Torreton,Cyril Raffaelli,David Belle,Philippe Torreton,Daniel Duval,Elodie Yung,9564039.212560773,Patrick Alessandrin,36039.0,6.5,64.0,39552,2206985.733641508,0,0,1,0,2009-02-18,101.0,Banlieue 13: Ultimatum,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2887,Gillo Pontecorvo,Franco Solinas,Franco Solinas,Brahim Hadjadj,Jean Martin,Yacef Saadi,Jean Martin,Yacef Saadi,Brahim Hadjadj,Tommaso Neri,800000.0,Gillo Pontecorvo,55908.0,8.1,95.0,43139,,3,0,5,9,1966-08-31,121.0,La battaglia di Algeri,1966-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2888,Adrian Lyne,Vladimir Nabokov,Stephen Schiff,Jeremy Irons,Dominique Swain,Melanie Griffith,Jeremy Irons,Melanie Griffith,Frank Langella,Dominique Swain,62000000.0,Adrian Lyne,1400000.0,6.9,46.0,42525,,0,0,4,2,1997-09-25,137.0,Lolita,1997-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2889,Ken Finkleman,Ken Finkleman,Robert Hays,Julie Hagerty,Lloyd Bridges,Lloyd Bridges,Raymond Burr,Chuck Connors,Rip Torn,John Dehner,15000000.0,Ken Finkleman,27150534.0,6.1,48.0,41582,,0,0,0,0,1982-12-10,85.0,Airplane II: The Sequel,1982-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2890,Tom McCarthy,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,Marian Seldes,,Tom McCarthy,9422422.0,7.7,79.0,39012,,1,0,34,19,2007-09-07,104.0,The Visitor,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2891,Marcus Nispel,Laeta Kalogridis,Nils Gaup,Karl Urban,Clancy Brown,Moon Bloodgood,Karl Urban,Moon Bloodgood,Russell Means,Clancy Brown,20000000.0,Marcus Nispel,10232081.0,5.4,29.0,39291,,0,0,1,0,2007-01-11,99.0,Pathfinder,2007-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2892,Kenneth Branagh,William Shakespeare,Kenneth Branagh,Kenneth Branagh,Emma Thompson,Keanu Reeves,Richard Briers,Kate Beckinsale,Imelda Staunton,Jimmy Yuill,11000000.0,Kenneth Branagh,22551000.0,7.4,nan,39879,,0,0,10,5,1993-05-06,111.0,Much Ado About Nothing,1993-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
