,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
4413,Ted Demme,Marie Weiss,Richard LaGravenese,Denis Leary,Judy Davis,Kevin Spacey,Denis Leary,Judy Davis,Kevin Spacey,Robert J. Steinmiller Jr.,"$11,000,000",R,Ted Demme,"Comedy, Crime, Drama","$11,439,193",6.9,,21057,,0,0,1,1,1994-03-09,96.0,The Ref,http://www.imdb.com/title/tt0110955/,1994
4414,Brian Gibson,Mark Victor,Michael Grais,JoBeth Williams,Craig T. Nelson,Heather O'Rourke,JoBeth Williams,Craig T. Nelson,Heather O'Rourke,Oliver Robins,"$19,000,000",PG-13,Brian Gibson,Horror,"$40,996,665",5.7,,21105,,1,0,4,1,1986-05-23,91.0,Poltergeist II: The Other Side,http://www.imdb.com/title/tt0091778/,1986
4415,Jack Clayton,Henry James,John Mortimer,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave,"£430,000",NOT RATED,Jack Clayton,Horror,,7.9,,21694,,0,0,3,3,1961-11-24,100.0,The Innocents,http://www.imdb.com/title/tt0055018/,1961
4416,Justin Kerrigan,Justin Kerrigan,John Simm,Lorraine Pilkington,Shaun Parkes,John Simm,Lorraine Pilkington,Shaun Parkes,Nicola Reynolds,Danny Dyer,"£2,200,000",R,Justin Kerrigan,"Comedy, Music","$104,257,",7.1,53.0,20597,"£434,261 (United Kingdom),",0,0,7,9,1999-06-04,99.0,Human Traffic,http://www.imdb.com/title/tt0188674/,1999
4417,Peter Hyams,Douglas Preston,Lincoln Child,Penelope Ann Miller,Tom Sizemore,Linda Hunt,Penelope Ann Miller,Tom Sizemore,Linda Hunt,James Whitmore,"$40,000,000",R,Peter Hyams,"Horror, Mystery, Sci-Fi, Thriller","$33,956,608",5.7,55.0,20881,,0,0,4,0,1997-01-10,110.0,The Relic,http://www.imdb.com/title/tt0120004/,1997
4418,Martha Coolidge,John Quaintance,Jessica O'Toole,Hilary Duff,Haylie Duff,Anjelica Huston,Hilary Duff,Haylie Duff,Maria Conchita Alonso,Anjelica Huston,,PG,Martha Coolidge,"Comedy, Family, Romance","$11,441,751,",3.9,17.0,20058,,0,0,4,1,2006-08-18,98.0,Material Girls,http://www.imdb.com/title/tt0433412/,2006
4419,Walter Lang,Ernest Lehman,Oscar Hammerstein II,Yul Brynner,Deborah Kerr,Rita Moreno,Deborah Kerr,Yul Brynner,Rita Moreno,Martin Benson,"$4,550,000",G,Walter Lang,"Biography, Drama, Musical, Romance","$21,300,000",7.5,,20765,,0,5,11,5,1956-06-28,133.0,The King and I,http://www.imdb.com/title/tt0049408/,1956
4420,Joe Dante,Mark L. Smith,Chris Massoglia,Haley Bennett,Nathan Gamble,Chris Massoglia,Haley Bennett,Nathan Gamble,Teri Polo,Bruce Dern,"$12,000,000",PG-13,Joe Dante,"Adventure, Fantasy, Thriller",,5.7,57.0,20560,,0,0,0,1,2009-09-11,92.0,The Hole,http://www.imdb.com/title/tt1085779/,2009
4421,John Woo,John Woo,Khan Chan,Tony Chiu-Wai Leung,Takeshi Kaneshiro,Fengyi Zhang,Tony Chiu-Wai Leung,Takeshi Kaneshiro,Fengyi Zhang,Chen Chang,"$80,000,000",NR,John Woo,"Action, Drama, History, War","$121,059,225",7.6,,20590,,0,0,14,7,2009-01-04,142.0,Chi bi: Jue zhan tian xia,http://www.imdb.com/title/tt1326972/,2009
4422,George Huang,George Huang,Kevin Spacey,Frank Whaley,Michelle Forbes,Kevin Spacey,Frank Whaley,Michelle Forbes,Benicio Del Toro,T.E. Russell,"$700,000",R,George Huang,"Comedy, Crime","$376,928",7.1,66.0,20198,,0,0,4,4,1994-09-10,93.0,Swimming with Sharks,http://www.imdb.com/title/tt0114594/,1994
4423,Mort Nathan,David Drew Gallagher,Brent Goldberg,Kal Penn,Lauren Cohan,Daniel Percival,Kal Penn,Lauren Cohan,Daniel Percival,Glen Barry,,R,Mort Nathan,"Comedy, Romance","$5,821,159,",4.8,21.0,20407,,0,0,1,0,2006-12-01,97.0,Van Wilder 2: The Rise of Taj,http://www.imdb.com/title/tt0480271/,2006
4424,Aaron Schneider,Chris Provenzano,C. Gaby Mitchell,Robert Duvall,Bill Murray,Sissy Spacek,Robert Duvall,Sissy Spacek,Bill Murray,Lucas Black,"$7,500,000",PG-13,Aaron Schneider,"Drama, Mystery","$9,176,553,",7.1,77.0,20168,,0,0,27,5,2009-09-12,103.0,Get Low,http://www.imdb.com/title/tt1194263/,2009
4425,Ali Taner Baltaci,Cem Yilmaz,Cem Yilmaz,Cem Yilmaz,Mazhar Alanson,Özlem Tekin,Cem Yilmaz,Mazhar Alanson,Özlem Tekin,Tuna Orhan,,NR,"Cem Yilmaz, Ali Taner Baltaci","Comedy, Drama",,7.5,,23114,,0,0,1,2,2006-10-20,122.0,Hokkabaz,http://www.imdb.com/title/tt0827503/,2006
4426,Clint Eastwood,Jo Heims,Dean Riesner,Clint Eastwood,Jessica Walter,Donna Mills,Clint Eastwood,Jessica Walter,Donna Mills,John Larch,"$725,000",R,Clint Eastwood,Thriller,"$10,600,000",7.0,78.0,21195,,0,0,0,0,1971-10-20,102.0,Play Misty for Me,http://www.imdb.com/title/tt0067588/,1971
4427,Dennis Hopper,Michael Schiffer,Michael Schiffer,Sean Penn,Robert Duvall,Maria Conchita Alonso,Sean Penn,Robert Duvall,Maria Conchita Alonso,Randy Brooks,"$6,000,000",R,Dennis Hopper,"Action, Crime, Drama, Romance, Thriller","$46,616,067",6.7,66.0,20818,,0,0,1,1,1988-04-15,120.0,Colors,http://www.imdb.com/title/tt0094894/,1988
4428,Gregory Nava,Gregory Nava,Jennifer Lopez,Edward James Olmos,Jon Seda,Jennifer Lopez,Jackie Guerra,Constance Marie,Alex Meneses,Jon Seda,"$20,000,000",PG,Gregory Nava,"Biography, Drama, Music","$35,422,828,",6.7,67.0,20964,,0,0,5,8,1997-03-21,127.0,Selena,http://www.imdb.com/title/tt0120094/,1997
4429,Mike Newell,Ronald Harwood,Gabriel García Márquez,Javier Bardem,Giovanna Mezzogiorno,Benjamin Bratt,Benjamin Bratt,Gina Bernard Forbes,Giovanna Mezzogiorno,Javier Bardem,"$45,000,000",R,Mike Newell,"Drama, Romance","$31,336,389,",6.4,43.0,20373,,0,0,3,0,2007-10-04,139.0,Love in the Time of Cholera,http://www.imdb.com/title/tt0484740/,2007
4430,Marwan Hamed,Ahmed Mourad,Karim Abdel Aziz,Khaled El-Sawi,Nelly Karim,Karim Abdel Aziz,Khaled El-Sawi,Nelly Karim,Mohamed Mamdouh,Dareen Haddad,"$3,500,000",NR,Marwan Hamed,"Drama, Horror, Mystery, Thriller",,8.2,,20660,"EGP 7,832,909 (Egypt),",0,0,0,2,2014-07-28,170.0,The Blue Elephant,http://www.imdb.com/title/tt3461252/,2014
4431,Benny Chan,Alan Yuen,Jackie Chan,Nicholas Tse,Mak Bau,Jackie Chan,Nicholas Tse,Mak Bau,Tak-Bun Wong,Winnie Leung,"HKD 80,000,000",R,Benny Chan,"Action, Crime, Drama, Thriller","$11,017,558",7.0,,21190,"$715,319 (Hong Kong),",0,0,21,7,2004-09-23,123.0,San ging chaat goo si,http://www.imdb.com/title/tt0386005/,2004
4432,John Irvin,James Carabatsos,Anthony Barrile,Michael Boatman,Don Cheadle,Anthony Barrile,Michael Boatman,Don Cheadle,Michael Dolan,Don James,,R,John Irvin,"Action, Drama, Thriller, War","$13,839,404",6.7,,20416,,0,0,0,0,1987-08-28,110.0,Hamburger Hill,http://www.imdb.com/title/tt0093137/,1987
4433,Jules Bass,Arthur Rankin Jr.,Peter S. Beagle,Peter S. Beagle,Jeff Bridges,Mia Farrow,Angela Lansbury,Alan Arkin,Jeff Bridges,Mia Farrow,,G,"Jules Bass, Arthur Rankin Jr.","Animation, Adventure, Drama, Family, Fantasy","$6,455,530",7.5,,20913,,0,0,1,0,1982-11-19,92.0,The Last Unicorn,http://www.imdb.com/title/tt0084237/,1982
4434,Chris Weitz,Paul Weitz,Elaine May,Warren Beatty,Chris Rock,Regina King,Chazz Palminteri,Chris Rock,Regina King,Chazz Palminteri,"$49,000,000",PG-13,"Paul Weitz, Chris Weitz","Comedy, Fantasy","$71,186,502",5.4,32.0,19907,,0,0,3,0,2001-02-12,87.0,Down to Earth,http://www.imdb.com/title/tt0231775/,2001
4435,Gorô Miyazaki,Tetsurô Sayama,Hayao Miyazaki,Sarah Bolger,Chris Noth,Anton Yelchin,Masami Nagasawa,Jun'ichi Okada,Keiko Takeshita,Yuriko Ishida,"$22,000,000",PG,Gor� Miyazaki,"Animation, Drama, Family","$61,037,844",7.5,71.0,23053,,0,0,11,6,2011-07-16,91.0,Kokuriko-zaka kara,http://www.imdb.com/title/tt1798188/,2011
4436,Robert Lieberman,Steven Brill,Kenneth Johnson,Emilio Estevez,Jeffrey Nordling,David Selby,Emilio Estevez,Jeffrey Nordling,David Selby,Heidi Kling,,PG,Robert Lieberman,"Action, Comedy, Drama, Family, Sport","$22,936,273,",5.4,,20863,,0,0,0,0,1996-10-04,104.0,D3: The Mighty Ducks,http://www.imdb.com/title/tt0116000/,1996
4437,Bryan Spicer,John Kamps,Arne Olsen,Karan Ashley,Johnny Yong Bosch,Steve Cardenas,Karan Ashley,Johnny Yong Bosch,Steve Cardenas,Jason David Frank,"$15,000,000",PG,Bryan Spicer,"Action, Adventure, Family, Sci-Fi, Thriller","$66,050,379",5.1,,21979,,0,0,1,0,1995-06-30,95.0,Mighty Morphin Power Rangers: The Movie,http://www.imdb.com/title/tt0113820/,1995
4438,John Curran,Marion Nelson,Robyn Davidson,Mia Wasikowska,Adam Driver,Lily Pearl,Lily Pearl,Mia Wasikowska,Philip Dodd,Fiona Press,,PG-13,John Curran,"Adventure, Biography, Drama","$508,806,",7.2,78.0,23224,,0,0,18,2,2013-08-29,112.0,Tracks,http://www.imdb.com/title/tt2167266/,2013
4439,George Dunning,Lee Minoff,John Lennon,Paul McCartney,George Harrison,Ringo Starr,The Beatles,Paul Angelis,John Clive,Dick Emery,"£250,000",G,George Dunning,"Animation, Adventure, Comedy, Family, Fantasy, Musical",,7.4,,20520,,0,0,2,2,1968-07-17,90.0,Yellow Submarine,http://www.imdb.com/title/tt0063823/,1968
4440,Richard Brooks,Truman Capote,Richard Brooks,Robert Blake,Scott Wilson,John Forsythe,Robert Blake,Scott Wilson,John Forsythe,Paul Stewart,"$3,500,000",R,Richard Brooks,"Biography, Crime, Drama, History",,8.0,89.0,20738,,4,0,5,4,1967-12-14,134.0,In Cold Blood,http://www.imdb.com/title/tt0061809/,1967
4441,Ernst Lubitsch,Melchior Lengyel,Edwin Justus Mayer,Carole Lombard,Jack Benny,Robert Stack,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,,NOT RATED,Ernst Lubitsch,"Comedy, War",,8.2,86.0,21295,,1,0,1,2,1942-02-19,99.0,To Be or Not to Be,http://www.imdb.com/title/tt0035446/,1942
4442,Griffin Dunne,Mimi Hare,Clare Naylor,Uma Thurman,Jeffrey Dean Morgan,Justina Machado,Uma Thurman,Jeffrey Dean Morgan,Colin Firth,Sam Shepard,,PG-13,Griffin Dunne,"Comedy, Romance",,5.6,,20878,,0,0,0,0,2008-02-13,90.0,The Accidental Husband,http://www.imdb.com/title/tt0809504/,2008
4443,Mike Binder,Mike Binder,Joan Allen,Kevin Costner,Erika Christensen,Joan Allen,Kevin Costner,Erika Christensen,Keri Russell,Alicia Witt,"$9,000,000",R,Mike Binder,"Comedy, Drama","$18,761,993,",6.9,63.0,19849,,0,0,13,5,2005-01-23,118.0,The Upside of Anger,http://www.imdb.com/title/tt0365885/,2005
4444,Phil Morrison,Angus MacLachlan,Embeth Davidtz,Alessandro Nivola,David Kuhn,Embeth Davidtz,David Kuhn,Alessandro Nivola,Alicia Van Couvering,Jerry Minor,"$1,000,000",R,Phil Morrison,"Comedy, Drama","$3,399,228",7.0,80.0,19982,,1,0,27,21,2005-01-24,106.0,Junebug,http://www.imdb.com/title/tt0418773/,2005
4445,Boaz Yakin,Boaz Yakin,Sheldon Lettich,Thomas Haden Church,Josh Wiggins,Luke Kleintank,Thomas Haden Church,Josh Wiggins,Luke Kleintank,Lauren Graham,"$20,000,000",PG,Boaz Yakin,"Adventure, Drama, Family, Fantasy, War","$42,652,003,",6.8,47.0,22653,,0,0,1,1,2015-06-25,111.0,Max,http://www.imdb.com/title/tt3369806/,2015
4446,Michael Apted,Harold T.P. Hayes,Dian Fossey,Sigourney Weaver,Bryan Brown,Julie Harris,Sigourney Weaver,Bryan Brown,Julie Harris,John Omirah Miluwi,"$22,000,000",PG-13,Michael Apted,"Biography, Drama","$61,149,479",7.0,,20726,,5,0,4,6,1988-10-07,129.0,Gorillas in the Mist: The Story of Dian Fossey,http://www.imdb.com/title/tt0095243/,1988
4447,Forest Whitaker,Steven Rogers,Sandra Bullock,Harry Connick Jr.,Gena Rowlands,Sandra Bullock,Harry Connick Jr.,Gena Rowlands,Mae Whitman,Michael Paré,"$30,000,000",PG-13,Forest Whitaker,"Drama, Romance","$81,471,882",5.9,42.0,21071,,0,0,9,3,1998-05-29,114.0,Hope Floats,http://www.imdb.com/title/tt0119313/,1998
4448,Oliver Parker,Oscar Wilde,Oliver Parker,Rupert Everett,Colin Firth,Frances O'Connor,Rupert Everett,Colin Firth,Frances O'Connor,Reese Witherspoon,"$15,000,000",PG,Oliver Parker,"Comedy, Drama, Romance","$8,378,141,",6.9,60.0,20165,,0,0,2,2,2002-06-21,97.0,The Importance of Being Earnest,http://www.imdb.com/title/tt0278500/,2002
4449,Jean Cocteau,René Clément,Jean Cocteau,Jean Cocteau,Jean Marais,Josette Day,Mila Parély,Jean Marais,Josette Day,Mila Parély,,NOT RATED,"Jean Cocteau, Ren� Cl�ment","Drama, Fantasy, Romance","$298,718",8.0,92.0,20806,,0,0,2,1,1946-09-01,96.0,La belle et la b�te,http://www.imdb.com/title/tt0038348/,1946
4450,Stanley Donen,Leonard Gershe,Audrey Hepburn,Fred Astaire,Kay Thompson,Audrey Hepburn,Fred Astaire,Kay Thompson,Michel Auclair,Robert Flemyng,"$3,000,000",NOT RATED,Stanley Donen,"Comedy, Musical, Romance",,7.1,,21616,,4,0,6,2,1957-02-13,103.0,Funny Face,http://www.imdb.com/title/tt0050419/,1957
4451,Ingmar Bergman,Ulla Isaksson,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,Axel Düberg,,NOT RATED,Ingmar Bergman,Drama,,8.1,,21049,,0,1,2,4,1960-02-08,89.0,Jungfruk�llan,http://www.imdb.com/title/tt0053976/,1960
4452,Atom Egoyan,Atom Egoyan,David Fraser,Ryan Reynolds,Scott Speedman,Rosario Dawson,Kevin Durand,Alexia Fast,Mireille Enos,Rosario Dawson,,R,Atom Egoyan,"Crime, Drama, Mystery, Thriller",,5.9,36.0,22876,,0,0,7,1,2014-05-16,112.0,The Captive,http://www.imdb.com/title/tt2326612/,2014
4453,Ishirô Honda,Takeo Murata,Ishirô Honda,Takashi Shimura,Akihiko Hirata,Akira Takarada,Akira Takarada,Momoko Kôchi,Akihiko Hirata,Takashi Shimura,"$175,000",NOT RATED,Ishir� Honda,"Drama, Horror, Sci-Fi, Thriller","$4,673,423",7.5,78.0,21806,,0,0,2,2,1954-11-03,96.0,Gojira,http://www.imdb.com/title/tt0047034/,1954
4454,Sarah Polley,Sarah Polley,Alice Munro,Julie Christie,Michael Murphy,Gordon Pinsent,Gordon Pinsent,Stacey LaBerge,Julie Christie,Olympia Dukakis,"CAD 4,000,000",PG-13,Sarah Polley,Drama,"$7,674,385",7.6,88.0,19794,,2,0,38,62,2006-09-11,110.0,Away from Her,http://www.imdb.com/title/tt0491747/,2006
4455,Shona Auerbach,Andrea Gibb,Emily Mortimer,Jack McElhone,Gerard Butler,Emily Mortimer,Jack McElhone,Mary Riggans,Sharon Small,Sophie Main,,PG-13,Shona Auerbach,"Drama, Romance","$1,340,891,",7.8,63.0,19730,,0,0,8,8,2004-05-04,105.0,Dear Frankie,http://www.imdb.com/title/tt0377752/,2004
4456,Richard Rush,Billy Ray,Matthew Chapman,Bruce Willis,Jane March,Rubén Blades,Bruce Willis,Jane March,Rubén Blades,Lesley Ann Warren,"$40,000,000",R,Richard Rush,"Mystery, Romance, Thriller","$19,721,814",5.1,,20071,,0,0,10,2,1994-08-19,121.0,Color of Night,http://www.imdb.com/title/tt0109456/,1994
4457,Julius Avery,Julius Avery,John Collee,Ewan McGregor,Brenton Thwaites,Alicia Vikander,Brenton Thwaites,Brendan Kerkvliet,Matt Flannagan,Geoff Kelso,,R,Julius Avery,"Action, Crime, Drama, Thriller",,6.5,49.0,22111,,0,0,2,0,2014-10-16,108.0,Son of a Gun,http://www.imdb.com/title/tt2452200/,2014
4458,Steve 'Spaz' Williams,Ed Decter,John J. Strauss,Kiefer Sutherland,Jim Belushi,Eddie Izzard,Kiefer Sutherland,Jim Belushi,Eddie Izzard,Janeane Garofalo,"$80,000,000",G,Steve 'Spaz' Williams,"Animation, Adventure, Comedy, Family","$102,338,515",5.3,47.0,20632,,0,0,2,0,2006-04-06,82.0,The Wild,http://www.imdb.com/title/tt0405469/,2006
4459,Harry Elfont,Deborah Kaplan,Deborah Kaplan,Harry Elfont,Rachael Leigh Cook,Tara Reid,Rosario Dawson,Rachael Leigh Cook,Rosario Dawson,Tara Reid,"$39,000,000",PG-13,"Harry Elfont, Deborah Kaplan","Comedy, Music","$14,252,830,",5.4,47.0,19791,,0,0,5,0,2001-04-06,98.0,Josie and the Pussycats,http://www.imdb.com/title/tt0236348/,2001
4460,John Badham,Jim Kouf,Richard Dreyfuss,Emilio Estevez,Madeleine Stowe,Richard Dreyfuss,Emilio Estevez,Madeleine Stowe,Aidan Quinn,Dan Lauria,,R,John Badham,"Action, Comedy, Crime, Thriller","$65,673,233",6.6,,20321,,0,0,0,2,1987-08-05,117.0,Stakeout,http://www.imdb.com/title/tt0094025/,1987
4461,Gus Van Sant,Gus Van Sant,Michael Pitt,Lukas Haas,Asia Argento,Michael Pitt,Lukas Haas,Asia Argento,Scott Patrick Green,Nicole Vicius,,R,Gus Van Sant,"Biography, Drama, Music","$454,711,",5.8,67.0,19851,,0,0,5,1,2005-05-13,97.0,Last Days,http://www.imdb.com/title/tt0403217/,2005
4462,Celal Çimen,Cem Kurtoglu,Hakan Ural,Hazim Körmükçü,Cem Kurtoglu,Hakan Ural,Hazim Körmükçü,Tolga Karel,Günay Musayeva,Yilmaz Gruda,,NOT RATED,Celal �imen,"Crime, Mystery",,1.6,,25866,,0,0,0,0,2015-02-13,114.0,Kod Adi K.O.Z.,http://www.imdb.com/title/tt4458206/,2015
4463,Masaki Kobayashi,Shinobu Hashimoto,Yasuhiko Takiguchi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,,NOT RATED,Masaki Kobayashi,"Action, Drama, History",,8.7,,21831,,0,0,2,8,1962-09-16,133.0,Seppuku,http://www.imdb.com/title/tt0056058/,1962
4464,Sergio Corbucci,Sergio Corbucci,Bruno Corbucci,Franco Nero,José Canalejas,José Bódalo,Franco Nero,José Bódalo,Loredana Nusciak,Ángel Álvarez,,NOT RATED,Sergio Corbucci,"Action, Western","$25,097,",7.3,,20489,,0,0,0,0,1966-04-06,92.0,Django,http://www.imdb.com/title/tt0060315/,1966
4465,Andrés Baiz,Andrés Baiz,Arturo Infante,Quim Gutiérrez,Martina García,María Soledad Rodríguez,Quim Gutiérrez,Martina García,María Soledad Rodríguez,Jose Luis Garcia,"$2,600,000",R,Andr�s Baiz,"Drama, Mystery, Thriller",,7.4,,26025,,0,0,0,1,2011-09-16,97.0,La cara oculta,http://www.imdb.com/title/tt1772250/,2011
4466,Peter Howitt,Aline Brosh McKenna,Aline Brosh McKenna,Pierce Brosnan,Julianne Moore,Parker Posey,Pierce Brosnan,Julianne Moore,Michael Sheen,Parker Posey,"$28,000,000",PG-13,Peter Howitt,"Comedy, Romance","$12,144,910,",5.9,38.0,19998,"£433,962 (United Kingdom),",0,0,2,0,2004-04-04,90.0,Laws of Attraction,http://www.imdb.com/title/tt0323033/,2004
4467,Steven Brill,Judd Apatow,Steven Brill,Tom McGowan,Aaron Schwartz,Ben Stiller,David Goldman,Joseph Wayne Miller,Cody Burger,Allen Covert,,PG,Steven Brill,"Comedy, Drama, Family, Sport","$17,689,177",6.7,,21476,,0,0,0,0,1995-02-17,100.0,Heavy Weights,http://www.imdb.com/title/tt0110006/,1995
4468,Jonathan Sobol,Jonathan Sobol,Kurt Russell,Jay Baruchel,Katheryn Winnick,Kurt Russell,Matt Dillon,Jay Baruchel,Kenneth Welsh,Chris Diamantopoulos,,R,Jonathan Sobol,"Comedy, Crime, Thriller","$61,446,",6.3,53.0,20749,,0,0,5,0,2013-09-11,90.0,The Art of the Steal,http://www.imdb.com/title/tt2172985/,2013
4469,Christian Nyby,Howard Hawks,Charles Lederer,John W. Campbell Jr.,Kenneth Tobey,Margaret Sheridan,James Arness,Margaret Sheridan,Kenneth Tobey,Robert Cornthwaite,"$1,600,000",NOT RATED,"Christian Nyby, Howard Hawks","Horror, Sci-Fi","$4,251,000,",7.2,,21096,,0,0,0,1,1951-04-06,87.0,The Thing from Another World,http://www.imdb.com/title/tt0044121/,1951
4470,David Bowers,Gabe Sachs,Jeff Judah,Zachary Gordon,Devon Bostick,Robert Capron,Zachary Gordon,Devon Bostick,Rachael Harris,Robert Capron,"$21,000,000",PG,David Bowers,"Comedy, Family","$72,417,394",6.6,51.0,21308,,0,0,5,2,2011-03-17,99.0,Diary of a Wimpy Kid: Rodrick Rules,http://www.imdb.com/title/tt1650043/,2011
4471,Alfred Hitchcock,Maxwell Anderson,Angus MacPhail,Henry Fonda,Vera Miles,Anthony Quayle,NA,NA,NA,NA,,NOT RATED,Alfred Hitchcock,"Drama, Film-Noir",,7.5,,21163,,0,0,0,0,1956-12-22,105.0,The Wrong Man,http://www.imdb.com/title/tt0051207/,1956
4472,Russell Mulcahy,Walter B. Gibson,David Koepp,Alec Baldwin,John Lone,Penelope Ann Miller,Alec Baldwin,John Lone,Penelope Ann Miller,Peter Boyle,"$25,000,000",PG-13,Russell Mulcahy,"Action, Adventure, Crime, Fantasy, Mystery, Thriller","$48,055,248",6.0,,20211,,0,0,4,0,1994-07-01,108.0,The Shadow,http://www.imdb.com/title/tt0111143/,1994
4473,Darren Stein,Darren Stein,Rose McGowan,Rebecca Gayheart,Julie Benz,Rose McGowan,Rebecca Gayheart,Julie Benz,Judy Greer,Chad Christ,"$3,500,000",R,Darren Stein,"Comedy, Crime, Thriller","$3,071,947,",5.5,22.0,20600,,0,0,1,0,1999-01-30,87.0,Jawbreaker,http://www.imdb.com/title/tt0155776/,1999
4474,Chan-wook Park,Seong-san Jeong,Hyun-seok Kim,Yeong-ae Lee,Byung-hun Lee,Kang-ho Song,Yeong-ae Lee,Byung-hun Lee,Kang-ho Song,Tae-woo Kim,,NOT RATED,Chan-wook Park,"Action, Drama, Thriller, War",,7.9,58.0,21316,,0,0,4,14,2000-09-09,110.0,Gongdong gyeongbi guyeok JSA,http://www.imdb.com/title/tt0260991/,2000
4475,Jules Dassin,Auguste Le Breton,Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,,NOT RATED,Jules Dassin,"Crime, Thriller","$57,226,",8.2,97.0,20927,,0,0,1,6,1955-04-13,118.0,Du rififi chez les hommes,http://www.imdb.com/title/tt0048021/,1955
4476,Jean-Claude Van Damme,Frank Dux,Jean-Claude Van Damme,Jean-Claude Van Damme,Roger Moore,James Remar,Jean-Claude Van Damme,Roger Moore,James Remar,Janet Gunn,"$30,000,000",PG-13,Jean-Claude Van Damme,"Action, Adventure, Thriller","$57,400,547",5.5,,20768,,0,0,1,0,1996-04-19,95.0,The Quest,http://www.imdb.com/title/tt0117420/,1996
4477,Bernard Rose,Bernard Rose,Gary Oldman,Jeroen Krabbé,Isabella Rossellini,Gary Oldman,Jeroen Krabbé,Isabella Rossellini,Johanna ter Steege,Marco Hofschneider,,R,Bernard Rose,"Biography, Drama, Music, Romance","$9,914,409",7.5,,20421,,0,0,1,0,1994-12-16,121.0,Immortal Beloved,http://www.imdb.com/title/tt0110116/,1994
4478,Terry George,John Burnham Schwartz,Terry George,Joaquin Phoenix,Mark Ruffalo,Jennifer Connelly,Joaquin Phoenix,Elle Fanning,Jennifer Connelly,Sean Curley,"$11,000,000",R,Terry George,"Crime, Drama, Thriller","$1,783,000,",6.7,46.0,19938,,0,0,2,1,2007-09-13,102.0,Reservation Road,http://www.imdb.com/title/tt0831884/,2007
4479,Michael Hoffman,Joel Coen,Ethan Coen,Colin Firth,Cameron Diaz,Alan Rickman,Colin Firth,Tom Courtenay,Alan Rickman,Mike Noble,,PG-13,Michael Hoffman,"Comedy, Crime",,5.7,,20645,,0,0,0,0,2012-11-07,89.0,Gambit,http://www.imdb.com/title/tt0404978/,2012
4480,Alfred Hitchcock,Brian Moore,Paul Newman,Julie Andrews,Lila Kedrova,Paul Newman,Julie Andrews,Lila Kedrova,Hansjörg Felmy,Tamara Toumanova,"$6,000,000",PG,Alfred Hitchcock,Thriller,"$13,000,000,",6.7,,20731,,0,0,2,0,1966-07-14,128.0,Torn Curtain,http://www.imdb.com/title/tt0061107/,1966
4481,Mark Levin,Jennifer Flackett,Josh Hutcherson,Charlotte Ray Rosenberg,Bradley Whitford,Josh Hutcherson,Charlotte Ray Rosenberg,Bradley Whitford,Cynthia Nixon,Willie Garson,,PG,Mark Levin,"Comedy, Family, Romance","$384,924,",7.6,52.0,20187,,0,0,0,0,2005-09-26,84.0,Little Manhattan,http://www.imdb.com/title/tt0412922/,2005
4482,Wei Lo,Chia-Hsiang Wu,Wei Lo,Bruce Lee,Maria Yi,James Tien,Bruce Lee,Maria Yi,James Tien,Marilyn Bautista,"$100,000",R,"Wei Lo, Chia-Hsiang Wu","Action, Crime, Drama, Thriller",,7.1,,20480,,0,0,0,0,1971-10-23,100.0,Tang shan da xiong,http://www.imdb.com/title/tt0067824/,1971
4483,David Brooks,Chris Sparling,Chris Sparling,Alice Eve,Josh Peck,Brian Geraghty,Brian Geraghty,Alice Eve,Josh Peck,Mike O'Brian,"$3,000,000",R,David Brooks,"Horror, Thriller","$2,034,",4.7,34.0,20466,,0,0,0,0,2012-02-17,90.0,ATM,http://www.imdb.com/title/tt1603257/,2012
4484,Josh Lawson,Josh Lawson,Bojana Novakovic,Josh Lawson,Damon Herriman,Bojana Novakovic,Josh Lawson,Damon Herriman,Kate Mulvany,Kate Box,,NOT RATED,Josh Lawson,"Comedy, Drama, Romance","$18,238,",7.1,46.0,21908,,0,0,10,2,2014-06-13,96.0,The Little Death,http://www.imdb.com/title/tt2785032/,2014
4485,Steven R. Monroe,Neil Elman,Thomas Fenton,Jemma Dallender,Joe Absolom,Yavor Baharov,Jemma Dallender,Joe Absolom,Yavor Baharov,George Zlatarev,,R,Steven R. Monroe,"Horror, Thriller","$441,",5.7,,21640,,0,0,0,0,2013-08-25,106.0,I Spit on Your Grave 2,http://www.imdb.com/title/tt2537176/,2013
