,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
5591,Anthony Mann,Robert L. Richards,Borden Chase,James Stewart,Shelley Winters,Dan Duryea,James Stewart,Shelley Winters,Dan Duryea,Stephen McNally,,NOT RATED,Anthony Mann,"Action, Drama, Western",,7.7,,13864,,0,0,1,1,1950-06-01,92.0,Winchester '73,http://www.imdb.com/title/tt0043137/,1950
5592,John Ford,Frank S. Nugent,James Warner Bellah,John Wayne,Henry Fonda,Shirley Temple,John Wayne,Henry Fonda,Shirley Temple,Pedro Armendáriz,"$2,500,000",NOT RATED,John Ford,"Action, Adventure, Western",,7.6,,13766,,0,0,1,2,1948-03-27,128.0,Fort Apache,http://www.imdb.com/title/tt0040369/,1948
5593,Alfred Hitchcock,Charles Bennett,D.B. Wyndham-Lewis,Leslie Banks,Edna Best,Peter Lorre,Leslie Banks,Edna Best,Peter Lorre,Frank Vosper,"£40,000",NOT RATED,Alfred Hitchcock,"Crime, Mystery, Thriller",,6.9,,14063,,0,0,1,1,1934-12-09,75.0,The Man Who Knew Too Much,http://www.imdb.com/title/tt0025452/,1934
5594,Frederik Du Chau,David Schmidt,Steven P. Wegner,Frankie Muniz,David Spade,Snoop Dogg,Bruce Greenwood,Hayden Panettiere,Caspar Poyck,Gary Bullock,"$30,000,000",PG,Frederik Du Chau,"Adventure, Comedy, Drama, Family, Sport","$90,754,475,",5.2,43.0,13734,,0,0,3,0,2005-01-06,102.0,Racing Stripes,http://www.imdb.com/title/tt0376105/,2005
5595,Tony Scott,Jim Harrison,Jim Harrison,Kevin Costner,Anthony Quinn,Madeleine Stowe,Kevin Costner,Anthony Quinn,Madeleine Stowe,Tomas Milian,,R,Tony Scott,"Action, Crime, Drama, Romance, Thriller","$15,650,000",6.2,,13779,,0,0,0,0,1990-02-16,124.0,Revenge,http://www.imdb.com/title/tt0100485/,1990
5596,Mark L. Lester,Stephen Glantz,Caliope Brattlestreet,Dolph Lundgren,Brandon Lee,Cary-Hiroyuki Tagawa,Dolph Lundgren,Brandon Lee,Cary-Hiroyuki Tagawa,Tia Carrere,"$8,000,000",R,Mark L. Lester,"Action, Comedy, Crime, Thriller","$2,275,557",6.1,,13711,,0,0,0,0,1991-08-23,79.0,Showdown in Little Tokyo,http://www.imdb.com/title/tt0102915/,1991
5597,John Duigan,John Duigan,Charlize Theron,Stuart Townsend,Penélope Cruz,Charlize Theron,Penélope Cruz,Stuart Townsend,Thomas Kretschmann,Steven Berkoff,,R,John Duigan,"Drama, Romance, War","$3,510,605,",6.6,40.0,13282,,0,0,5,6,2004-09-12,132.0,Head in the Clouds,http://www.imdb.com/title/tt0338097/,2004
5598,Sally Potter,Sally Potter,Christina Ricci,Cate Blanchett,Oleg Yankovskiy,Christina Ricci,Oleg Yankovskiy,Claudia Lander-Duke,Danny Scheinmann,Anna Tzelniker,,R,Sally Potter,"Drama, Music, Romance, War","$739,583,",6.2,40.0,13176,"$37,943 (United Kingdom),",0,0,3,3,2000-09-02,100.0,The Man Who Cried,http://www.imdb.com/title/tt0206917/,2000
5599,Barbra Streisand,Pat Conroy,Pat Conroy,Barbra Streisand,Nick Nolte,Blythe Danner,Nick Nolte,Barbra Streisand,Blythe Danner,Kate Nelligan,"$30,000,000",R,Barbra Streisand,"Drama, Romance","$74,787,599",6.7,65.0,13617,,7,0,11,3,1991-12-25,132.0,The Prince of Tides,http://www.imdb.com/title/tt0102713/,1991
5600,Anthony Russo,Joe Russo,Anthony Russo,Joe Russo,George Clooney,Sam Rockwell,William H. Macy,William H. Macy,Isaiah Washington,Sam Rockwell,"$12,000,000",R,"Anthony Russo, Joe Russo","Comedy, Crime","$333,976,",6.4,61.0,13058,,0,0,1,0,2002-05-24,86.0,Welcome to Collinwood,http://www.imdb.com/title/tt0271259/,2002
