,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1205,Anders Thomas Jensen,Anders Thomas Jensen,Nikolaj Lie Kaas,Mads Mikkelsen,Line Kruse,Nikolaj Lie Kaas,Mads Mikkelsen,Line Kruse,Ole Thestrup,Bodil Jørgensen,,Anders Thomas Jensen,2483.0,7.3,54.0,16433,,0,0,8,7,2003-03-08,100.0,De gr�nne slagtere,2003-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,3329.4448585874416,,
1206,Ernst Lubitsch,Charles Brackett,Billy Wilder,Greta Garbo,Melvyn Douglas,Ina Claire,Greta Garbo,Melvyn Douglas,Ina Claire,Bela Lugosi,1365000.0,Ernst Lubitsch,2279000.0,8.0,nan,15871,,4,0,2,3,1939-11-09,110.0,Ninotchka,1939-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1930,914000.0,24208737.093878668,40418836.5105857,,16210099.416707035
1207,Barbet Schroeder,Charles Bukowski,Mickey Rourke,Faye Dunaway,Alice Krige,Mickey Rourke,Faye Dunaway,Alice Krige,Jack Nance,J.C. Quinn,3000000.0,Barbet Schroeder,3221568.0,7.3,nan,15936,,0,0,3,0,1987-05-01,100.0,Barfly,1987-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,221568.0,6512712.871287129,6993715.79310891,,481002.92182178225
1208,Eddie Murphy,Eddie Murphy,Eddie Murphy,Richard Pryor,Redd Foxx,Eddie Murphy,Richard Pryor,Redd Foxx,Danny Aiello,Michael Lerner,30000000.0,Eddie Murphy,95900000.0,6.0,16.0,15898,,1,0,1,2,1989-11-17,116.0,Harlem Nights,1989-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,65900000.0,59694030.63735034,190821917.93739662,,131127887.30004627
1209,Clive Barker,Clive Barker,Clive Barker,Craig Sheffer,David Cronenberg,Anne Bobby,Craig Sheffer,Anne Bobby,David Cronenberg,Charles Haid,11000000.0,Clive Barker,8862354.0,6.6,nan,16037,,0,0,4,7,1990-02-16,102.0,Nightbreed,1990-01-01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-2137646.0,20766826.971303485,16731179.279676305,,-4035647.691627183
1210,Jean-Pierre Dardenne,Luc Dardenne,Jean-Pierre Dardenne,Luc Dardenne,Jérémie Renier,Déborah François,Jérémie Segard,Jérémie Renier,Déborah François,Jérémie Segard,,Luc Dardenne Jean-Pierre Dardenne,651234.0,7.5,87.0,15651,,0,0,19,12,2005-05-17,95.0,L'enfant,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,822560.6461373911,,
1211,Aaron Harvey,Aaron Harvey,Diego Garzon,Malin Akerman,Nikki Reed,Deborah Ann Woll,Malin Akerman,Nikki Reed,Deborah Ann Woll,Forest Whitaker,7000000.0,Aaron Harvey,1887.0,4.6,nan,15374,,0,0,0,0,2011-12-09,94.0,Catch .44,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,-6998113.0,7676222.088538572,2069.2901544388983,,-7674152.798384134
1212,Kevin Yagher,Peter Atkins,Bruce Ramsay,Valentina Vargas,Doug Bradley,Bruce Ramsay,Valentina Vargas,Doug Bradley,Charlotte Chatton,Adam Scott,4000000.0,Kevin Yagher,16675000.0,5.1,nan,16025,,0,0,1,1,1996-03-08,85.0,Hellraiser: Bloodline,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,12675000.0,6290570.608861971,26223816.225693338,,19933245.61683137
1213,Marek Kanievska,Bret Easton Ellis,Harley Peyton,Andrew McCarthy,Jami Gertz,Robert Downey Jr.,Andrew McCarthy,Jami Gertz,Robert Downey Jr.,James Spader,,Marek Kanievska,12396383.0,6.4,nan,15763,,0,0,1,0,1987-11-06,98.0,Less Than Zero,1987-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,26911361.04050165,,
1214,Amy Heckerling,Amy Heckerling,Michelle Pfeiffer,Paul Rudd,Saoirse Ronan,Michelle Pfeiffer,Paul Rudd,Saoirse Ronan,Stacey Dash,Fred Willard,24000000.0,Amy Heckerling,,6.0,nan,15325,,0,0,0,0,2007-05-11,97.0,I Could Never Be Your Woman,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,28552177.158707097,,,
