,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Comedy,Genre:  Music,Genre: Fantasy,Genre:  Western,Genre: Action,Genre: Drama,Genre:  Fantasy,Genre: Musical,Genre:  Comedy,Genre: Mystery,Genre:  Horror,Genre:  Film-Noir,Genre:  Adventure,Genre: Horror,Genre:  Crime,Genre:  Musical,Genre: Romance,Genre:  Sport,Genre: Western,Genre:  Mystery,Genre: Biography,Genre:  Family,Genre:  Drama,Genre:  Thriller,Genre: Animation,Genre:  Action,Genre:  History,Genre:  Romance,Genre:  Sci-Fi,Genre: Film-Noir,Genre: Crime,Genre:  Biography,Genre:  War,Genre: Sci-Fi,Genre: Adventure,Genre: Family,Content Rating: PG-13,Content Rating: APPROVED,Content Rating: PASSED,Content Rating: R,Content Rating: NR,Content Rating: G,Content Rating: UNRATED,Content Rating: GP,Content Rating: NOT RATED,Content Rating: NC-17,Content Rating: PG
1854,Richard Eyre,Patrick Marber,Zoe Heller,Cate Blanchett,Judi Dench,Andrew Simpson,Judi Dench,Cate Blanchett,Tom Georgeson,Michael Maloney,15000000.0,Richard Eyre,26196359.0,7.4,73.0,68040,,4,0,68,15,2006-12-25,92.0,Notes on a Scandal,2006-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1855,James Mangold,Steven Rogers,James Mangold,Meg Ryan,Hugh Jackman,Liev Schreiber,Meg Ryan,Hugh Jackman,Liev Schreiber,Breckin Meyer,48000000.0,James Mangold,76019048.0,6.4,44.0,70141,,1,0,4,1,2001-12-11,118.0,Kate & Leopold,2001-01-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1856,Christopher Smith,Christopher Smith,Melissa George,Joshua McIvor,Jack Taylor,Melissa George,Joshua McIvor,Jack Taylor,Michael Dorman,Henry Nixon,12000000.0,Christopher Smith,,6.9,nan,79271,160761.16456945473,0,0,5,1,2009-08-27,99.0,Triangle,2009-01-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1857,Alejandro Amenábar,Alejandro Amenábar,Mateo Gil,Javier Bardem,Belén Rueda,Lola Dueñas,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,8220979.940808945,Alejandro Amen?bar,38535221.0,8.0,74.0,69390,1882005.0970075633,0,1,36,67,2004-09-02,125.0,Mar adentro,2004-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1858,John Landis,John Landis,David Naughton,Jenny Agutter,Joe Belcher,Joe Belcher,David Naughton,Griffin Dunne,David Schofield,Brian Glover,10000000.0,John Landis,60565292.0,7.6,60.0,75056,,0,1,3,2,1981-08-21,97.0,An American Werewolf in London,1981-01-01,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1859,Cody Cameron,Kris Pearn,Erica Rivinoja,John Francis Daley,Bill Hader,Anna Faris,Will Forte,Bill Hader,Anna Faris,James Caan,78000000.0,Cody Cameron Kris Pearn,274325949.0,6.4,59.0,73294,,0,0,16,0,2013-09-26,95.0,Cloudy with a Chance of Meatballs 2,2013-01-01,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1860,Wolfgang Reitherman,Larry Clemmons,Vance Gerry,Phil Harris,Eva Gabor,Sterling Holloway,Phil Harris,Eva Gabor,Sterling Holloway,Scatman Crothers,4000000.0,Wolfgang Reitherman,55675257.0,7.1,65.0,74442,,0,0,1,3,1970-12-11,78.0,The AristoCats,1970-01-01,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1861,Andrew Davis,Frederick Knott,Patrick Smith Kelly,Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,David Suchet,60000000.0,Andrew Davis,128038368.0,6.5,50.0,69106,,0,0,3,2,1998-06-05,107.0,A Perfect Murder,1998-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1862,Merian C. Cooper,Ernest B. Schoedsack,James Ashmore Creelman,Ruth Rose,Fay Wray,Robert Armstrong,Bruce Cabot,Fay Wray,Robert Armstrong,Bruce Cabot,670000.0,Ernest B. Schoedsack Merian C. Cooper,10000000.0,7.9,90.0,69738,,0,0,7,3,1933-03-02,100.0,King Kong,1933-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1863,Robert Wise,Edmund H. North,Harry Bates,Michael Rennie,Patricia Neal,Hugh Marlowe,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,1200000.0,Robert Wise,,7.8,nan,68761,,0,0,1,2,1951-09-18,92.0,The Day the Earth Stood Still,1951-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1864,Daniel Barnz,Daniel Barnz,Alex Flinn,Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen,Alex Pettyfer,Justin Bradley,Mary-Kate Olsen,Dakota Johnson,17000000.0,Daniel Barnz,43165571.0,5.6,40.0,69115,,0,0,1,1,2011-03-03,86.0,Beastly,2011-01-01,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1865,Joe Johnston,Homer H. Hickam Jr.,Lewis Colick,Jake Gyllenhaal,Chris Cooper,Laura Dern,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,25000000.0,Joe Johnston,32481825.0,7.8,71.0,70516,,0,0,11,4,1999-02-19,108.0,October Sky,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1866,Josh Boone,Josh Boone,Greg Kinnear,Jennifer Connelly,Lily Collins,Greg Kinnear,Jennifer Connelly,Lily Collins,Nat Wolff,Kristen Bell,,Josh Boone,78950.0,7.3,49.0,74117,,0,0,0,2,2012-09-09,97.0,Stuck in Love,2012-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1867,Robert Zemeckis,Diane Thomas,Michael Douglas,Kathleen Turner,Danny DeVito,Michael Douglas,Kathleen Turner,Danny DeVito,Zack Norman,Alfonso Arau,10000000.0,Robert Zemeckis,115078260.0,6.9,63.0,70317,,1,0,3,8,1984-03-24,106.0,Romancing the Stone,1984-01-01,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1868,Brian De Palma,Brian De Palma,David Koepp,Nicolas Cage,Gary Sinise,John Heard,Nicolas Cage,Gary Sinise,John Heard,Carla Gugino,73000000.0,Brian De Palma,103891409.0,6.0,52.0,68171,,0,0,2,1,1998-07-30,98.0,Snake Eyes,1998-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1869,Krzysztof Kieslowski,Krzysztof Kieslowski,Krzysztof Piesiewicz,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,,Krzysztof Kieslowski,4043686.0,8.1,100.0,70662,,3,0,21,17,1994-05-16,99.0,Trois couleurs: Rouge,1994-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1870,Fred Wolf,Karen McCullah,Kirsten Smith,Anna Faris,Colin Hanks,Emma Stone,Anna Faris,Colin Hanks,Emma Stone,Kat Dennings,25000000.0,Fred Wolf,70442940.0,5.5,55.0,69464,,0,0,2,0,2008-08-18,97.0,The House Bunny,2008-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1871,Mark Dindal,Mark Dindal,Mark Kennedy,Zach Braff,Joan Cusack,Garry Marshall,Zach Braff,Garry Marshall,Don Knotts,Patrick Stewart,150000000.0,Mark Dindal,314432837.0,5.8,48.0,71687,,0,0,15,4,2005-10-30,81.0,Chicken Little,2005-01-01,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
