,Name,Rating,Score,Release,Budget,Open,Gross,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
108,Shaun the Sheep Movie,PG,99.0,2015-08-05,25000000.0,666509.93743099,19375982.0,2010,-5624018.0,26018070.433766354,20165026.575975563,693652.0998753882,-5853043.857790791
110,How to Train Your Dragon,PG,98.0,2010-03-26,165000000.0,43732319.0,217581231.0,2010,52581231.0,186651494.6882789,246132496.8622163,49470925.500209816,59481002.17393738
111,The Incredibles,PG,97.0,2004-11-05,92000000.0,70467623.0,261441092.0,2000,169441092.0,120145846.66375114,341424579.9025615,92026002.47518505,221278733.23881036
112,Beauty and the Beast,G,94.0,2017-03-17,160000000.0,6445619.996276299,504014165.0,2010,344014165.0,161095279.20732462,507464391.46950996,6489743.4560277825,346369112.26218534
114,My Life as a Zucchini ,PG13,98.0,2017-02-24,6143667.296786389,28472.0,292279.0,2010,-5851388.296786389,6185723.740829455,294279.7944464853,28666.90493494342,-5891443.94638297
115,101 Dalmatians,G,98.0,1996-11-27,75000000.0,45073479.0,136189294.0,1990,61189294.0,117948198.91616194,214177092.51951548,70884475.55913931,96228893.60335353
116,Fantasia,G,96.0,1941-07-21,2280000.0,6047613.0,76408097.0,1940,74128097.0,38193909.67741936,1279966647.1234636,101307888.0201698,1241772737.4460442
118,Monsters Inc.,G,96.0,2001-11-02,115000000.0,32236.0,289916256.0,2000,174916256.0,160204828.65960002,403878122.76619774,44907.503101485796,243673294.10659766
119,The Iron Giant,PG,96.0,1999-08-06,70000000.0,5732614.0,23159305.0,1990,-46840695.0,103657991.89554256,34294957.857091404,8489017.936461054,-69363034.03845115
120,Spirited Away,PG,97.0,2003-03-28,19000000.0,1052197.0,10055859.0,2000,-8944141.0,25477024.693178166,13483861.47653252,1410886.7868993678,-11993163.216645645
121,Song Of The Sea,PG,99.0,2014-12-10,4265593.561368209,21910.0,857522.0,2010,-3408071.5613682093,4444566.763313799,893501.3908797908,22829.286565448136,-3551065.3724340084
125,Waltz with Bashir,R,96.0,2008-06-12,1500000.0,58091.64226639955,2283276.0,2000,783276.0,1718575.8098372943,2615988.600521372,66556.59410183733,897412.7906840778
127,Antz,PG,96.0,1998-10-02,105000000.0,17195160.0,90757863.0,1990,-14242137.0,158889085.4575715,137337465.23955777,26020221.397110622,-21551620.218013726
128,Persepolis,PG13,96.0,2008-02-22,7300000.0,22723.10286677909,4443403.0,2000,-2856597.0,8363735.607874832,5090883.272772309,26034.249940860678,-3272852.3351025237
129,Anomalisa,R,91.0,2016-01-21,8000000.0,135222.0,3442820.0,2010,-4557180.0,8221911.7441984555,3538320.273895166,138972.91873425044,-4683591.47030329
130,Fantastic Mr. Fox,PG,93.0,2009-11-25,40000000.0,910150.5608541779,21002919.0,2000,-18997081.0,45990947.94837254,24148603.862322114,1046467.1767356644,-21842344.086050425
132,Ernest & Célestine,PG,97.0,2014-02-28,6953498.478922208,13078.0,292562.0,2010,-6660936.478922208,7245249.174245679,304837.1399434339,13626.71883628164,-6940412.034302245
133,The Secret World of Arrietty,G,94.0,2012-02-17,23000000.0,11152476.238497416,19202743.0,2010,-3797257.0,24710618.100750074,20630941.25042834,11981938.313356493,-4079676.850321736
135,Ghost in the Shell,R,96.0,2017-03-31,110000000.0,18676033.0,40533014.0,2010,-69466986.0,110753004.45503569,40810482.5465275,18803879.691376306,-69942521.9085082
136,Coraline,PG,90.0,2009-02-06,60000000.0,695126.7355505328,75286229.0,2000,15286229.0,68986421.92255881,86562125.97920638,799238.437805667,17575704.056647573
137,The Triplets of Belleville,PG13,94.0,2004-02-13,9500000.0,572207.0,7002255.0,2000,-2497745.0,12406364.601148216,9144476.690548748,747264.0704557071,-3261887.9105994683
139,Frozen,PG,89.0,2013-11-27,150000000.0,67391326.0,400738009.0,2010,250738009.0,158829040.42179856,424325556.2000806,71357997.60888404,265496515.778282
141,How to Train Your Dragon 2,PG,91.0,2014-06-13,145000000.0,49451322.0,177002924.0,2010,32002924.0,151083822.54632494,184429505.929632,51526170.742959835,33345683.383307062
143,April and the Extraordinary World ,PG,96.0,2016-04-08,12400000.0,11413.0,294313.0,2010,-12105687.0,12743963.203507606,302476.938896285,11729.584842067123,-12441486.264611322
144,James and the Giant Peach,PG,93.0,1996-04-12,38000000.0,135378.0,28934758.0,1990,-9065242.0,59760420.78418872,45504034.56233344,212901.21697162898,-14256386.221855277
145,The Little Mermaid,G,92.0,1989-11-17,40000000.0,9814520.0,111543479.0,1980,71543479.0,79592040.84980047,221949328.4274215,19528941.91902959,142357287.57762104
146,Big Hero 6,PG,89.0,2014-11-07,165000000.0,56215889.0,222527828.0,2010,57527828.0,171922970.4837491,231864516.3942836,58574561.3652407,59941545.910534516
147,Ponyo,G,92.0,2009-08-14,34000000.0,10930468.448858833,15090400.0,2000,-18909600.0,39092305.75611666,17350545.023003027,12567565.137069874,-21741760.73311364
148,A Bug's Life,G,92.0,1998-11-25,120000000.0,33258052.0,162798565.0,1990,42798565.0,181587526.23722458,246351572.44433343,50327061.584574826,64764046.20710885
150,Arthur Christmas,PG,92.0,2011-11-23,100000000.0,1361947.0053510412,46462469.0,2010,-53537531.0,109660315.55055103,50950890.11797695,1493515.3836992322,-58709425.432574086
152,The Little Prince,PG,93.0,2016-08-05,81200000.0,3113945.0,1339152.0,2010,-79860848.0,83452404.20361432,1376298.6945083563,3200322.6207860075,-82076105.50910597
153,Bolt,PG,89.0,2008-11-21,150000000.0,26223128.0,114053579.0,2000,-35946421.0,171857580.98372942,130673147.92984456,30044288.95937802,-41184433.05388488
155,The Wind Rises,PG13,89.0,2014-02-21,30000000.0,7893833.433940221,5209580.0,2010,-24790420.0,31258721.906136196,5428160.4155923,8225038.13616325,-25830561.4905439
156,Tangled,PG,89.0,2010-11-24,260000000.0,48767052.0,200821936.0,2010,-59178064.0,294117506.7815304,227174027.39753872,55166322.1050971,-66943479.38399169
157,The Simpsons Movie,PG13,88.0,2007-07-27,75000000.0,186382.0,183135014.0,2000,108135014.0,89225553.62095968,217870973.48709604,221733.8284664228,128645419.86613636
158,Shrek 2,PG,88.0,2004-05-19,150000000.0,644084.0,436471036.0,2000,286471036.0,195889967.38655078,570001980.0480936,841130.6250279945,374112012.6615428
159,Shrek,PG,88.0,2001-05-18,60000000.0,42347760.0,267665011.0,2000,207665011.0,83585127.99631305,372880236.7428257,58994048.999285765,289295108.74651265
161,Frankenweenie,PG,87.0,2012-10-05,39000000.0,11412213.0,35291068.0,2010,-3708932.0,41900613.30127186,37915830.59633051,12260992.918583276,-3984782.7049413556
163,The Peanuts Movie,G,87.0,2015-11-06,99000000.0,44213073.0,130178411.0,2010,31178411.0,103031558.91771476,135479642.65415138,46013553.89629014,32448083.73643663
165,Kung Fu Panda,PG,87.0,2008-06-06,130000000.0,30885.0,215434591.0,2000,85434591.0,148943236.8525655,246827117.79652753,35385.47592454989,97883880.94396202
167,Rango,PG,87.0,2011-03-04,135000000.0,1008377.2307692308,123477607.0,2010,-11522393.0,148041425.9932439,135405933.4704693,1105789.6532014466,-12635492.522774605
170,Wreck-it Ralph,PG,87.0,2012-11-02,165000000.0,49038712.0,189422889.0,2010,24422889.0,177271825.50538096,203511159.54868576,52685951.49498565,26239334.04330478
172,ParaNorman,PG,87.0,2012-08-17,60000000.0,14087050.0,56003051.0,2010,-3996949.0,64462482.001956716,60168261.11903607,15134770.118094407,-4294220.882920648
173,The Secret of Kells,G,91.0,2009-02-11,5041495.385092686,5495.229969751028,686383.0,2000,-4355112.385092686,5796578.795943952,789185.1206411947,6318.2708875789085,-5007393.675302758
174,Tarzan,G,88.0,2016-07-01,180000000.0,38527856.0,126643061.0,2010,-53356939.0,184993014.24446526,130156008.81964268,39596578.96564837,-54837005.42482258
175,Howl's Moving Castle,PG,87.0,2005-06-17,24000000.0,13272712.53330883,4711096.0,2000,-19288904.0,30313920.199647725,5950491.1748699825,16764497.856982836,-24363429.02477774
176,Kung Fu Panda 3,PG,86.0,2016-01-29,145000000.0,41282042.0,143528619.0,2010,-1471381.0,149022150.363597,147509954.77308568,42427163.24303673,-1512195.5905113085
179,Cloudy With a Chance of Meatballs,PG,87.0,2009-09-18,100000000.0,973530.062707488,124870275.0,2000,24870275.0,114977369.87093136,143572557.94559914,1119339.2610038985,28595188.074667774
180,The Pirates! Band of Misfits,PG,86.0,2012-04-27,55000000.0,11137734.0,31051126.0,2010,-23948874.0,59090608.50179365,33360544.18192484,11966099.625293022,-25730064.31986882
181,Captain Underpants: The First Epic Movie ,PG,86.0,2017-06-02,38000000.0,23851539.0,73921000.0,2010,35921000.0,38260128.8117396,74427025.83927903,24014814.592058707,36166897.027539425
182,The Princess and the Frog,G,85.0,2009-12-11,105000000.0,786190.0,104400899.0,2000,-599101.0,120726238.36447792,120037407.79180747,903940.5841882753,-688830.5726704485
184,Tim Burton's Corpse Bride,PG,84.0,2005-09-23,40000000.0,385078.0,53359111.0,2000,13359111.0,50523200.33274621,67396826.36575605,486384.3234433311,16873626.03300984
185,Mulan,G,86.0,1998-06-19,90000000.0,22745143.0,120620254.0,1990,30620254.0,136190644.67791843,182526112.8163808,34418618.76068271,46335468.13846234
186,Lilo & Stitch,PG,86.0,2002-06-21,80000000.0,35260212.0,145794338.0,2000,65794338.0,109706851.98054205,199932973.23208895,48353585.73358166,90226121.25154692
189,The Battle of Algiers ,NR,99.0,1967-09-20,800000.0,13536.0,55908.0,1960,-744092.0,5915619.286126967,413413.0538109831,100092.27832126828,-5502206.232315984
202,Let the Right One In,R,98.0,2008-12-12,4000000.0,49295.0,2122065.0,2000,-1877935.0,4582868.826232784,2431286.383934919,56478.129697286284,-2151582.4422978666
203,Things to Come ,PG13,100.0,2016-04-06,2100000.0,33090.0,282382.0,2010,-1817618.0,2158251.8328520944,290214.985268781,34007.88245194086,-1868036.8475833137
206,The Discreet Charm Of The Bourgeoisie ,PG,98.0,1972-10-22,800000.0,12864.0,198809.0,1970,-601191.0,4719056.197312152,1172738.5544142895,75882.42365277941,-3546317.642897863
207,Gloria,R,99.0,1990-02-16,18000000.0,63661.0,26830000.0,1990,8830000.0,33982080.498496614,50652178.87637023,120185.17925637739,16670098.377873616
209,A Separation,PG13,99.0,2011-03-16,500000.0,100000.0,7098492.0,2010,6598492.0,548301.5777527551,7784228.726530621,109660.31555055104,7235927.148777866
222,Truman,NR,100.0,2017-04-07,3579502.637528259,18258.0,208799.0,2010,-3370703.637528259,3604006.105099811,210228.33252006362,18382.985048545834,-3393777.7725797477
229,The Handmaiden ,NR,95.0,2016-06-01,8388628.375374343,92129.0,2005473.0,2010,-6383155.375374343,8621320.269650841,2061102.7514216139,94684.56338515745,-6560217.5182292275
237,Waste Land,NR,100.0,2011-01-21,1500000.0,8656.0,187716.0,2010,-1312284.0,1644904.7332582655,205849.9579388724,9492.196914055698,-1439054.775319393
239,Poetry,NR,100.0,2011-02-11,1154221.7881559087,18900.0,355044.0,2010,-799177.7881559087,1265723.2550449823,389342.37074329844,20725.79963905415,-876380.8843016837
240,Sex Lies and Videotape,R,98.0,1989-09-22,1200000.0,37684.54458901936,24741700.0,1980,23541700.0,2387761.2254940136,49231059.927337706,74984.74530838389,46843298.70184369
257,Maria Full of Grace,R,97.0,2004-08-06,3000000.0,139066.0,6517198.0,2000,3517198.0,3917799.3477310156,8511024.691144627,181610.89469718712,4593225.343413611
258,An Education,PG13,95.0,2010-02-05,2881106.344836417,159017.0,12574715.0,2010,9693608.655163582,3259168.518906674,14224783.93957043,179883.39836876394,10965615.420663755
262,Band of Outsiders ,NR,96.0,1964-08-05,120000.0,13252.0,37651.0,1960,-82349.0,954334.6586830376,299430.45195062546,105390.35747389679,-654904.2067324123
266,Amour,PG13,93.0,2012-09-20,8900000.0,165414.7358665431,6739492.0,2010,-2160508.0,9561934.830290247,7240739.695872188,177717.407227591,-2321195.134418058
268,Graduation ,R,95.0,2016-05-20,2000000.0,67120.5496564647,175975.0,2010,-1824025.0,2055477.9360496139,180856.3648981654,68982.40443719285,-1874621.5711514486
271,The Wizard of Oz,G,99.0,1939-08-25,2800000.0,3093998.0,22202612.0,1930,19402612.0,49658947.88487932,393770840.0772129,54873101.94211459,344111892.19233364
272,Citizen Kane,PG,100.0,1941-09-05,839727.0,216239.0,1585634.0,1940,745907.0,14066867.18933786,26562088.49887946,3622374.050322581,12495221.309541598
274,All About Eve,PG,100.0,1950-10-27,1400000.0,10177.0,10177.0,1950,-1389823.0,14349166.202998731,104308.18889137007,104308.18889137007,-14244858.014107361
275,Modern Times,G,100.0,1936-02-25,1500000.0,11507.0,163245.0,1930,-1336755.0,26682944.705124293,2903904.8722586767,204693.76314791015,-23779039.832865614
278,Casablanca,PG,97.0,1943-01-23,950000.0,181494.0,1024560.0,1940,74560.0,13538885.895722462,14601474.666654112,2586554.2702718447,1062588.7709316493
281,A Hard Day's Night,G,98.0,1964-07-07,560000.0,50445.0,13780024.0,1960,13220024.0,4453561.740520842,109589620.8390339,401178.432143882,105136059.09851307
285,Rear Window,PG,100.0,1954-09-01,1000000.0,15172.0,36764313.0,1950,35764313.0,9186927.374301676,337751073.497095,139384.06212290502,328564146.1227933
291,Touch of Evil,PG13,96.0,1958-02-01,829000.0,70725.0,2237659.0,1950,1408659.0,7085946.32481501,19126576.076283753,604527.8091948632,12040629.75146874
292,Vertigo,PG,97.0,1958-07-21,2479000.0,1486818.0,3200000.0,1950,721000.0,21189458.31027311,27352265.668767225,12708700.292845361,6162807.358494116
293,Frankenstein,NR,100.0,1994-11-04,45000000.0,11212889.0,22006296.0,1990,-22993704.0,74886861.1907573,36621831.863882616,18659956.935341544,-38265029.32687468
304,Gone With the Wind,G,93.0,1940-01-17,3977000.0,1192593.0,198676459.0,1940,194699459.0,70029930.7483712,3498440700.3021393,21000051.59693041,3428410769.553768
312,Invasion of the Body Snatchers,PG,98.0,1978-12-22,3500000.0,1298129.0,24946533.0,1970,21446533.0,13234667.859644083,94331165.287043,4908658.901134833,81096497.42739892
321,Mean Streets,R,98.0,1973-10-14,500000.0,32645.0,32645.0,1970,-467355.0,2777804.054054054,181362.8266891892,181362.8266891892,-2596441.227364865
322,The Manchurian Candidate,PG13,98.0,2004-07-30,80000000.0,20018620.0,65955630.0,2000,-14044370.0,104474649.27282707,86133641.3977294,26142978.792825025,-18341007.87509768
326,The Day the Earth Stood Still,G,94.0,2008-12-12,80000000.0,26609.0,79366978.0,2000,-633022.0,91657376.5246557,90932112.32712582,30486.389149307044,-725264.1975298824
329,One Flew Over the Cuckoo's Nest,R,95.0,1975-11-19,4400000.0,99761.0,112000000.0,1970,107600000.0,20167425.207793906,513352641.65293574,457255.1150351654,493185216.44514185
335,Night of the Living Dead,R,96.0,1968-10-04,114000.0,5452.0,89029.0,1960,-24971.0,808440.8050607035,631356.8108223629,38663.32692272768,-177083.99423834062
338,Get Out,R,99.0,2017-02-24,5000000.0,33377060.0,175484140.0,2010,170484140.0,5034227.4752288945,176685415.8109828,33605542.49887267,171651188.33575392
339,The Big Sick,R,98.0,2017-07-14,5000000.0,7529590.0,42872467.0,2010,37872467.0,5034227.4752288945,43165950.26044882,7581133.771041747,38131722.78521993
341,La La Land,PG13,92.0,2016-12-25,30000000.0,9242782.0,151101803.0,2010,121101803.0,30832169.040744208,155293211.0819077,9499167.23435826,124461042.04116347
343,Love & Friendship,PG,98.0,2016-06-03,3000000.0,133513.0,14013564.0,2010,11013564.0,3083216.9040744207,14402285.803709585,137216.51283789607,11319068.899635164
344,Before Midnight,R,98.0,2013-06-14,3000000.0,246914.0,8114627.0,2010,5114627.0,3176580.8084359714,8592256.131938787,261447.42457805318,5415675.323502816
346,The Artist,PG13,96.0,2012-01-20,15000000.0,46560.086499845536,44671682.0,2010,29671682.0,16115620.500489179,47994124.94870224,50022.978966764014,31878504.448213052
348,Logan Lucky,PG13,93.0,2017-08-18,29000000.0,7600036.0,27780977.0,2010,-1219023.0,29198519.35632759,27971151.540420398,7652062.008785742,-1227367.8159071908
349,Birdman,R,91.0,2014-11-14,18000000.0,2471471.0,42340598.0,2010,24340598.0,18755233.14368172,44117099.27405021,2575167.4896026775,25361866.130368497
